Based on the TVAC measurements by O Grimm May/June 2017. From STIX_TVAC_Data_MayJune2017\Nominal\FitResults.mat
Channel energy edges obtained from stx_science_energy_channels(/edges_1) 
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
" 897.7778"," 0.109012","0","0","934","944","953","962","971","980","990","999","1008","1017","1026","1035","1045","1063","1081","1100","1127","1155","1191","1228","1265","1311","1356","1411","1476","1540","1595","1668","1815","1999","2274"
" 900.0000"," 0.109153","1","0","937","946","955","964","973","982","992","1001","1010","1019","1028","1037","1047","1065","1083","1102","1129","1157","1193","1230","1266","1312","1358","1413","1477","1541","1596","1670","1816","1999","2274"
" 898.5185"," 0.109064","2","0","935","944","954","963","972","981","990","999","1009","1018","1027","1036","1045","1064","1082","1100","1128","1155","1192","1229","1265","1311","1357","1412","1476","1540","1595","1669","1815","1999","2274"
" 900.0000"," 0.109863","3","0","936","946","955","964","973","982","991","1000","1009","1018","1027","1037","1046","1064","1082","1100","1128","1155","1191","1228","1264","1310","1355","1410","1473","1537","1592","1665","1810","1992","2265"
" 891.1111"," 0.109525","4","0","928","937","946","955","964","973","982","992","1001","1010","1019","1028","1037","1055","1074","1092","1119","1147","1183","1220","1256","1302","1348","1402","1466","1530","1585","1658","1804","1987","2261"
" 902.2222"," 0.110384","5","0","938","948","957","966","975","984","993","1002","1011","1020","1029","1038","1047","1065","1083","1102","1129","1156","1192","1228","1265","1310","1355","1410","1473","1536","1591","1663","1808","1989","2261"
" 897.7778"," 0.108190","6","0","935","944","953","962","972","981","990","999","1009","1018","1027","1036","1046","1064","1083","1101","1129","1157","1194","1231","1267","1314","1360","1415","1480","1545","1600","1674","1822","2007","2284"
" 889.6296"," 0.108941","7","0","926","936","945","954","963","972","981","991","1000","1009","1018","1027","1036","1055","1073","1092","1119","1147","1183","1220","1257","1303","1349","1404","1468","1532","1587","1661","1808","1991","2267"
" 891.8518"," 0.107931","8","0","929","938","947","957","966","975","985","994","1003","1012","1022","1031","1040","1059","1077","1096","1123","1151","1188","1225","1262","1309","1355","1411","1476","1540","1596","1670","1818","2004","2282"
" 903.7037"," 0.108818","9","0","940","950","959","968","977","986","996","1005","1014","1023","1032","1042","1051","1069","1087","1106","1133","1161","1198","1235","1271","1317","1363","1418","1483","1547","1602","1676","1823","2006","2282"
" 902.9630"," 0.109100","10","0","940","949","958","967","976","985","995","1004","1013","1022","1031","1040","1050","1068","1086","1105","1132","1160","1196","1233","1270","1315","1361","1416","1480","1545","1600","1673","1820","2003","2278"
" 888.8889"," 0.109631","11","0","925","934","944","953","962","971","980","989","998","1007","1017","1026","1035","1053","1071","1090","1117","1144","1181","1217","1254","1299","1345","1400","1464","1527","1582","1655","1801","1983","2257"
" 879.2593"," 0.107707","0","1","916","926","935","944","954","963","972","981","991","1000","1009","1019","1028","1046","1065","1084","1111","1139","1176","1213","1251","1297","1343","1399","1464","1529","1585","1659","1808","1993","2272"
" 893.3333"," 0.109100","1","1","930","939","948","957","967","976","985","994","1003","1012","1022","1031","1040","1058","1077","1095","1122","1150","1187","1223","1260","1306","1352","1407","1471","1535","1590","1663","1810","1993","2268"
" 892.5926"," 0.108906","2","1","929","939","948","957","966","975","984","994","1003","1012","1021","1030","1040","1058","1076","1095","1122","1150","1186","1223","1260","1306","1352","1407","1471","1535","1590","1664","1811","1994","2270"
" 888.8889"," 0.107741","3","1","926","935","945","954","963","972","982","991","1000","1010","1019","1028","1037","1056","1075","1093","1121","1149","1186","1223","1260","1307","1353","1409","1474","1539","1594","1669","1817","2003","2281"
" 877.7778"," 0.107845","4","1","915","924","933","943","952","961","971","980","989","998","1008","1017","1026","1045","1063","1082","1110","1137","1175","1212","1249","1295","1341","1397","1462","1527","1582","1657","1805","1990","2269"
" 890.3704"," 0.107724","5","1","928","937","946","955","965","974","983","992","1002","1011","1020","1030","1039","1057","1076","1095","1122","1150","1187","1225","1262","1308","1355","1410","1475","1540","1596","1670","1819","2004","2283"
" 901.4815"," 0.108889","6","1","938","947","957","966","975","984","993","1003","1012","1021","1030","1039","1048","1067","1085","1104","1131","1159","1195","1232","1269","1315","1361","1416","1480","1544","1599","1673","1820","2004","2279"
" 888.1482"," 0.108052","7","1","925","934","944","953","962","971","981","990","999","1008","1018","1027","1036","1055","1073","1092","1120","1147","1184","1221","1258","1305","1351","1406","1471","1536","1592","1666","1814","1999","2276"
