ENERGY BINNING,,,,,,,14.06.19
,,,,,,,15.06.19
Revised Suggestion for Science Energy Binning,,,,,,,
,,,,,,,
Criteria,,,,,,,
,Quasi-Logarithmic spacing between Emin and Emax,,,,,,
,Monatonically increasing bin width,,,,,,
,Energy edges at integral values of keV,,,,,,
,"Fine resolution through microflare regime, 4-15 keV",,,,,,
,"Bracket Ba=133 lines at 31, 35 and 81 keV",,,,,,
,Boundary at Tungsten K-edge at 70 keV,,,,,,
,Include channels <4kev and >150keV,,,,,,
,,,,,,,
Basic constraint,,,,,,,
,Emin,0,,,,,
,Emax,>1000,,,,,
,Number of bins,32,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Channel Number,Channel Edge,Energy Edge ,Elower,Eupper ,BinWidth,dE/E,QL channel
,,,,,,,
,,,,,,,
0,0,0,0,4,4,2,n/a
1,1,4,4,5,1,0.222,0
2,2,5,5,6,1,0.182,0
3,3,6,6,7,1,0.154,0
4,4,7,7,8,1,0.133,0
5,5,8,8,9,1,0.118,0
6,6,9,9,10,1,0.105,0
7,7,10,10,11,1,0.095,1
8,8,11,11,12,1,0.087,1
9,9,12,12,13,1,0.08,1
10,10,13,13,14,1,0.074,1
11,11,14,14,15,1,0.069,1
12,12,15,15,16,1,0.065,2
13,13,16,16,18,2,0.061,2
14,14,18,18,20,2,0.105,2
15,15,20,20,22,2,0.095,2
16,16,22,22,25,3,0.128,2
17,17,25,25,28,3,0.113,3
18,18,28,28,32,4,0.133,3
19,19,32,32,36,4,0.118,3
20,20,36,36,40,4,0.105,3
21,21,40,40,45,5,0.118,3
22,22,45,45,50,5,0.105,3
23,23,50,50,56,6,0.113,4
24,24,56,56,63,7,0.118,4
25,25,63,63,70,7,0.105,4
26,26,70,70,76,6,0.082,4
27,27,76,76,84,8,0.1,4
28,28,84,84,100,16,0.174,n/a
29,29,100,100,120,20,0.182,n/a
30,30,120,120,150,30,0.222,n/a
31,31,150,150,maxADC,n/a,n/a,n/a
,32,max ADC,,,,,
