Based on the TVAC measurements by O Grimm May/June 2017. From STIX_TVAC_Data_MayJune2017\Nominal\FitResults.mat
Channel energy edges obtained from stx_science_energy_channels(/edges_1) 
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
"1055.6003"," 0.107193","0","0","1093","1102","1112","1121","1130","1140","1149","1158","1168","1177","1186","1196","1205","1224","1242","1261","1289","1317","1354","1391","1429","1475","1522","1578","1643","1709","1765","1839","1988","2175","2455"
"1162.3820"," 0.109351","1","0","1199","1208","1217","1226","1236","1245","1254","1263","1272","1281","1290","1300","1309","1327","1345","1364","1391","1418","1455","1492","1528","1574","1620","1674","1739","1803","1857","1931","2077","2260","2534"
"1078.2278"," 0.107452","2","0","1115","1125","1134","1143","1153","1162","1171","1181","1190","1199","1209","1218","1227","1246","1264","1283","1311","1339","1376","1413","1450","1497","1544","1599","1665","1730","1786","1860","2009","2195","2474"
"1124.8397"," 0.108733","3","0","1162","1171","1180","1189","1198","1208","1217","1226","1235","1244","1254","1263","1272","1290","1309","1327","1355","1382","1419","1456","1493","1539","1585","1640","1704","1769","1824","1897","2045","2228","2504"
"1109.7528"," 0.108113","4","0","1147","1156","1165","1175","1184","1193","1202","1211","1221","1230","1239","1248","1258","1276","1295","1313","1341","1369","1406","1443","1480","1526","1572","1628","1692","1757","1813","1887","2035","2220","2497"
"1120.9626"," 0.109069","5","0","1158","1167","1176","1185","1194","1203","1213","1222","1231","1240","1249","1258","1268","1286","1304","1323","1350","1378","1414","1451","1488","1534","1579","1634","1699","1763","1818","1891","2038","2221","2496"
"1079.8997"," 0.107537","6","0","1117","1126","1136","1145","1154","1164","1173","1182","1191","1201","1210","1219","1229","1247","1266","1284","1312","1340","1377","1415","1452","1498","1545","1601","1666","1731","1787","1861","2010","2196","2475"
"1105.4420"," 0.107546","7","0","1143","1152","1161","1171","1180","1189","1198","1208","1217","1226","1236","1245","1254","1273","1291","1310","1338","1366","1403","1440","1477","1524","1570","1626","1691","1756","1812","1887","2035","2221","2500"
"1123.6478"," 0.107508","8","0","1161","1170","1179","1189","1198","1207","1217","1226","1235","1245","1254","1263","1272","1291","1310","1328","1356","1384","1421","1459","1496","1542","1589","1645","1710","1775","1831","1905","2054","2240","2519"
"1157.7043"," 0.109167","9","0","1194","1204","1213","1222","1231","1240","1249","1258","1268","1277","1286","1295","1304","1323","1341","1359","1387","1414","1451","1487","1524","1570","1616","1671","1735","1799","1854","1927","2074","2257","2532"
"1062.7031"," 0.107510","10","0","1100","1109","1119","1128","1137","1146","1156","1165","1174","1184","1193","1202","1212","1230","1249","1267","1295","1323","1360","1398","1435","1481","1528","1584","1649","1714","1770","1844","1993","2179","2458"
"1095.1521"," 0.108761","11","0","1132","1141","1150","1160","1169","1178","1187","1196","1205","1215","1224","1233","1242","1261","1279","1297","1325","1353","1389","1426","1463","1509","1555","1610","1674","1739","1794","1867","2015","2198","2474"
"1165.6907"," 0.105762","0","1","1204","1213","1222","1232","1241","1251","1260","1270","1279","1289","1298","1308","1317","1336","1355","1374","1402","1430","1468","1506","1544","1591","1638","1695","1761","1828","1884","1960","2111","2300","2584"
"1142.4644"," 0.108255","1","1","1179","1189","1198","1207","1216","1226","1235","1244","1253","1263","1272","1281","1290","1309","1327","1346","1373","1401","1438","1475","1512","1558","1604","1660","1724","1789","1845","1918","2066","2251","2528"
"1199.0212"," 0.106866","2","1","1236","1246","1255","1265","1274","1283","1293","1302","1311","1321","1330","1339","1349","1367","1386","1405","1433","1461","1498","1536","1573","1620","1667","1723","1789","1854","1910","1985","2135","2322","2603"
"1239.1559"," 0.106876","3","1","1277","1286","1295","1305","1314","1323","1333","1342","1351","1361","1370","1380","1389","1408","1426","1445","1473","1501","1539","1576","1613","1660","1707","1763","1829","1894","1950","2025","2175","2362","2643"
"1142.0115"," 0.106886","4","1","1179","1189","1198","1208","1217","1226","1236","1245","1254","1264","1273","1282","1292","1310","1329","1348","1376","1404","1441","1479","1516","1563","1610","1666","1731","1797","1853","1928","2078","2265","2545"
"1159.8872"," 0.107671","5","1","1197","1206","1216","1225","1234","1243","1253","1262","1271","1281","1290","1299","1308","1327","1346","1364","1392","1420","1457","1494","1531","1578","1624","1680","1745","1810","1866","1940","2089","2274","2553"
"1203.0577"," 0.108464","6","1","1240","1249","1258","1268","1277","1286","1295","1304","1314","1323","1332","1341","1351","1369","1387","1406","1434","1461","1498","1535","1572","1618","1664","1719","1784","1848","1904","1978","2125","2309","2586"
"1123.1958"," 0.107048","7","1","1161","1170","1179","1189","1198","1207","1217","1226","1235","1245","1254","1263","1273","1291","1310","1329","1357","1385","1422","1459","1497","1544","1590","1646","1712","1777","1833","1908","2057","2244","2524"
