"Based on the CEA reduction of the calibration run 236, 15-apr-2020, 43200 seconds, ADC locations for energy cal, 1024 or 4096 (0-(N-1)) are universally interpreted as the leading (low energy) edge of the bin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
1220,0.108696,0,0,1257,1266,1275,1284,1294,1303,1312,1321,1330,1340,1349,1358,1367,1386,1404,1422,1450,1478,1514,1551,1588,1634,1680,1735,1800,1864,1919,1993,2140,2324,2600
1288.8888,0.109047,1,0,1326,1335,1344,1353,1362,1371,1381,1390,1399,1408,1417,1426,1436,1454,1472,1491,1518,1546,1582,1619,1656,1702,1747,1802,1867,1931,1986,2059,2206,2389,2664
1228.8888,0.109047,2,0,1266,1275,1284,1293,1302,1311,1321,1330,1339,1348,1357,1366,1376,1394,1412,1431,1458,1486,1522,1559,1596,1642,1687,1742,1807,1871,1926,1999,2146,2329,2604
1256.2963,0.109935,3,0,1293,1302,1311,1320,1329,1338,1347,1356,1365,1375,1384,1393,1402,1420,1438,1456,1484,1511,1547,1584,1620,1666,1711,1766,1829,1893,1948,2020,2166,2348,2621
1275.5555,0.109223,4,0,1312,1321,1330,1340,1349,1358,1367,1376,1385,1395,1404,1413,1422,1440,1459,1477,1504,1532,1569,1605,1642,1688,1733,1788,1852,1916,1971,2045,2191,2374,2649
1258.5186,0.110475,5,0,1295,1304,1313,1322,1331,1340,1349,1358,1367,1376,1385,1394,1403,1421,1440,1458,1485,1512,1548,1584,1621,1666,1711,1765,1829,1892,1946,2019,2164,2345,2616
1256.2963,0.108173,6,0,1293,1303,1312,1321,1330,1339,1349,1358,1367,1376,1386,1395,1404,1423,1441,1460,1487,1515,1552,1589,1626,1672,1719,1774,1839,1903,1959,2033,2181,2366,2643
1245.9259,0.109047,7,0,1283,1292,1301,1310,1319,1328,1338,1347,1356,1365,1374,1383,1393,1411,1429,1448,1475,1503,1539,1576,1613,1659,1704,1759,1824,1888,1943,2016,2163,2346,2621
1274.8148,0.107484,8,0,1312,1321,1331,1340,1349,1359,1368,1377,1386,1396,1405,1414,1424,1442,1461,1479,1507,1535,1573,1610,1647,1693,1740,1796,1861,1926,1982,2056,2205,2391,2670
1208.8888,0.108521,9,0,1246,1255,1264,1273,1283,1292,1301,1310,1319,1329,1338,1347,1356,1375,1393,1412,1439,1467,1504,1541,1577,1624,1670,1725,1789,1854,1909,1983,2130,2315,2591
