"Based on the CEA reduction of the calibration runs from 18-may-2020  baseline holder on, from a series with durations up to 900 seconds, ADC locations for energy cal, 1024 or 4096 (0-(N-1)) are universally interpreted as the leading (low energy) edge of the bin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
883.7037,0.108906,0,0,920,930,939,948,957,966,976,985,994,1003,1012,1021,1031,1049,1067,1086,1113,1141,1178,1214,1251,1297,1343,1398,1462,1526,1582,1655,1802,1986,2261
886.6667,0.109135,1,0,923,932,942,951,960,969,978,987,997,1006,1015,1024,1033,1052,1070,1088,1116,1143,1180,1217,1253,1299,1345,1400,1464,1528,1583,1656,1803,1986,2261
884.4445,0.108853,2,0,921,930,940,949,958,967,976,985,995,1004,1013,1022,1031,1050,1068,1087,1114,1142,1178,1215,1252,1298,1344,1399,1463,1528,1583,1656,1803,1987,2262
885.926,0.109828,3,0,922,931,941,950,959,968,977,986,995,1004,1013,1023,1032,1050,1068,1086,1114,1141,1177,1214,1250,1296,1341,1396,1460,1523,1578,1651,1796,1979,2252
877.037,0.109418,4,0,914,923,932,941,950,959,968,978,987,996,1005,1014,1023,1042,1060,1078,1106,1133,1169,1206,1243,1288,1334,1389,1453,1517,1572,1645,1791,1974,2248
888.1482,0.110204,5,0,924,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1051,1070,1088,1115,1142,1179,1215,1251,1296,1342,1396,1460,1523,1578,1650,1796,1977,2249
884.4445,0.108156,6,0,921,931,940,949,958,968,977,986,995,1005,1014,1023,1032,1051,1069,1088,1116,1143,1180,1217,1254,1301,1347,1402,1467,1532,1587,1661,1809,1994,2271
876.2963,0.109047,7,0,913,922,931,940,950,959,968,977,986,996,1005,1014,1023,1041,1060,1078,1106,1133,1170,1206,1243,1289,1335,1390,1454,1518,1573,1647,1793,1977,2252
877.7778,0.107707,8,0,915,924,933,943,952,961,971,980,989,998,1008,1017,1026,1045,1063,1082,1110,1138,1175,1212,1249,1296,1342,1398,1463,1528,1583,1658,1806,1992,2270
890.3704,0.108766,9,0,927,936,946,955,964,973,982,992,1001,1010,1019,1028,1037,1056,1074,1093,1120,1148,1185,1221,1258,1304,1350,1405,1470,1534,1589,1663,1810,1994,2269
889.6296,0.108959,10,0,926,936,945,954,963,972,981,991,1000,1009,1018,1027,1036,1055,1073,1092,1119,1147,1183,1220,1257,1303,1349,1404,1468,1532,1587,1661,1807,1991,2266
875.5555,0.109471,11,0,912,921,930,939,949,958,967,976,985,994,1003,1013,1022,1040,1058,1077,1104,1131,1168,1204,1241,1287,1332,1387,1451,1515,1570,1643,1789,1972,2246
