Based on ECC fit measurements to calibration run 1276 provided by O Limousin 25-June-2021 (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
898.5185,0.109294,0,0,935,944,953,963,972,981,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1127,1155,1191,1228,1265,1310,1356,1411,1475,1539,1594,1667,1813,1996,2271
900,0.109276,1,0,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1046,1065,1083,1101,1129,1156,1193,1229,1266,1312,1358,1412,1477,1541,1595,1669,1815,1998,2273
898.5185,0.109276,2,0,935,944,953,963,972,981,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1127,1155,1191,1228,1265,1310,1356,1411,1475,1539,1594,1667,1814,1997,2271
900,0.11015,3,0,936,945,954,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1082,1100,1127,1154,1191,1227,1263,1309,1354,1408,1472,1535,1590,1663,1808,1989,2262
890.3704,0.109489,4,0,927,936,945,954,963,973,982,991,1000,1009,1018,1027,1037,1055,1073,1091,1119,1146,1183,1219,1256,1301,1347,1402,1466,1530,1585,1658,1804,1986,2260
902.2222,0.110529,5,0,938,947,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1156,1192,1228,1264,1309,1355,1409,1472,1536,1590,1662,1807,1988,2259
897.037,0.108138,6,0,934,943,953,962,971,980,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1128,1156,1193,1230,1267,1313,1359,1415,1480,1544,1600,1674,1822,2007,2284
891.1111,0.109507,7,0,928,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1055,1074,1092,1119,1147,1183,1220,1256,1302,1348,1402,1466,1530,1585,1658,1804,1987,2261
891.8518,0.108138,8,0,929,938,947,957,966,975,984,994,1003,1012,1021,1031,1040,1058,1077,1095,1123,1151,1188,1225,1262,1308,1354,1410,1474,1539,1595,1669,1817,2002,2279
903.7037,0.109047,9,0,940,950,959,968,977,986,995,1005,1014,1023,1032,1041,1050,1069,1087,1105,1133,1160,1197,1234,1271,1316,1362,1417,1481,1546,1601,1674,1821,2004,2279
903.7037,0.1094,10,0,940,949,959,968,977,986,995,1004,1013,1023,1032,1041,1050,1068,1087,1105,1132,1160,1196,1233,1269,1315,1361,1416,1480,1544,1598,1672,1818,2001,2275
889.6296,0.110132,11,0,926,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1053,1071,1089,1117,1144,1180,1217,1253,1298,1344,1398,1462,1525,1580,1652,1798,1979,2252
880,0.107983,0,1,917,926,936,945,954,963,973,982,991,1000,1010,1019,1028,1047,1065,1084,1112,1139,1176,1213,1250,1297,1343,1399,1463,1528,1584,1658,1806,1991,2269
893.3333,0.109188,1,1,930,939,948,957,967,976,985,994,1003,1012,1022,1031,1040,1058,1077,1095,1122,1150,1186,1223,1260,1305,1351,1406,1470,1534,1589,1663,1809,1992,2267
891.8518,0.108871,2,1,929,938,947,956,965,975,984,993,1002,1011,1020,1030,1039,1057,1076,1094,1121,1149,1186,1223,1259,1305,1351,1406,1471,1535,1590,1663,1810,1994,2270
888.8889,0.107965,3,1,926,935,944,954,963,972,982,991,1000,1009,1019,1028,1037,1056,1074,1093,1120,1148,1185,1222,1259,1306,1352,1408,1472,1537,1593,1667,1815,2000,2278
877.037,0.107776,4,1,914,923,933,942,951,961,970,979,988,998,1007,1016,1025,1044,1063,1081,1109,1137,1174,1211,1248,1295,1341,1397,1462,1527,1582,1656,1805,1990,2269
891.1111,0.108,5,1,928,937,947,956,965,974,984,993,1002,1011,1021,1030,1039,1058,1076,1095,1123,1150,1187,1224,1261,1308,1354,1410,1474,1539,1595,1669,1817,2002,2280
901.4815,0.108889,6,1,938,947,957,966,975,984,993,1003,1012,1021,1030,1039,1048,1067,1085,1104,1131,1159,1195,1232,1269,1315,1361,1416,1480,1544,1599,1673,1820,2004,2279
888.8889,0.108434,7,1,926,935,944,953,963,972,981,990,1000,1009,1018,1027,1036,1055,1073,1092,1119,1147,1184,1221,1258,1304,1350,1405,1470,1534,1590,1664,1811,1996,2272
885.926,0.107776,8,1,923,932,942,951,960,969,979,988,997,1007,1016,1025,1034,1053,1071,1090,1118,1146,1183,1220,1257,1303,1350,1406,1470,1535,1591,1665,1814,1999,2278
881.4815,0.108538,9,1,918,928,937,946,955,964,974,983,992,1001,1010,1020,1029,1047,1066,1084,1112,1139,1176,1213,1250,1296,1342,1397,1462,1526,1582,1655,1803,1987,2263
897.037,0.108731,10,1,934,943,952,961,971,980,989,998,1007,1017,1026,1035,1044,1063,1081,1099,1127,1155,1191,1228,1265,1311,1357,1412,1476,1541,1596,1670,1817,2001,2277
890.3704,0.10917,11,1,927,936,945,954,964,973,982,991,1000,1009,1019,1028,1037,1055,1074,1092,1119,1147,1183,1220,1257,1303,1348,1403,1467,1532,1587,1660,1806,1990,2264
896.2963,0.107501,0,2,934,943,952,961,971,980,989,999,1008,1017,1027,1036,1045,1064,1082,1101,1129,1157,1194,1231,1268,1315,1361,1417,1482,1547,1603,1678,1827,2013,2292
891.8518,0.107587,1,2,929,938,948,957,966,976,985,994,1003,1013,1022,1031,1041,1059,1078,1096,1124,1152,1189,1226,1264,1310,1357,1412,1477,1542,1598,1673,1821,2007,2286
896.2963,0.108104,2,2,933,943,952,961,970,980,989,998,1007,1017,1026,1035,1044,1063,1081,1100,1128,1155,1192,1229,1266,1313,1359,1414,1479,1544,1599,1673,1821,2006,2284
897.037,0.107228,3,2,934,944,953,962,972,981,990,1000,1009,1018,1028,1037,1046,1065,1084,1102,1130,1158,1195,1233,1270,1317,1363,1419,1485,1550,1606,1680,1830,2016,2296
897.037,0.106888,4,2,934,944,953,963,972,981,991,1000,1009,1019,1028,1037,1047,1065,1084,1103,1131,1159,1196,1234,1271,1318,1365,1421,1486,1552,1608,1683,1833,2020,2300
905.1852,0.107621,5,2,942,952,961,970,980,989,998,1007,1017,1026,1035,1045,1054,1072,1091,1110,1137,1165,1203,1240,1277,1323,1370,1426,1491,1556,1611,1686,1834,2020,2299
892.5926,0.107058,6,2,930,939,949,958,967,977,986,995,1005,1014,1023,1033,1042,1061,1079,1098,1126,1154,1191,1229,1266,1313,1360,1416,1481,1546,1602,1677,1827,2013,2294
901.4815,0.107381,7,2,939,948,957,967,976,985,995,1004,1013,1023,1032,1041,1050,1069,1088,1106,1134,1162,1199,1237,1274,1321,1367,1423,1488,1553,1609,1684,1833,2019,2298
886.6667,0.107245,8,2,924,933,943,952,961,971,980,989,999,1008,1017,1027,1036,1055,1073,1092,1120,1148,1185,1222,1260,1306,1353,1409,1474,1539,1595,1670,1819,2006,2285
880.7407,0.106182,9,2,918,928,937,947,956,966,975,984,994,1003,1013,1022,1031,1050,1069,1088,1116,1144,1182,1220,1257,1305,1352,1408,1474,1540,1596,1672,1823,2011,2293
899.2593,0.107211,10,2,937,946,955,965,974,983,993,1002,1011,1021,1030,1039,1048,1067,1086,1104,1132,1160,1198,1235,1272,1319,1366,1422,1487,1552,1608,1683,1832,2019,2298
903.7037,0.107075,11,2,941,950,960,969,978,988,997,1006,1016,1025,1034,1044,1053,1072,1090,1109,1137,1165,1203,1240,1277,1324,1371,1427,1492,1557,1613,1688,1838,2024,2305
874.8148,0.107656,0,3,912,921,931,940,949,958,968,977,986,996,1005,1014,1023,1042,1061,1079,1107,1135,1172,1209,1246,1293,1339,1395,1460,1525,1581,1655,1804,1989,2268
875.5555,0.107364,1,3,913,922,931,941,950,959,969,978,987,997,1006,1015,1025,1043,1062,1080,1108,1136,1174,1211,1248,1295,1341,1397,1462,1528,1583,1658,1807,1993,2273
888.1482,0.10745,2,3,925,935,944,953,963,972,981,991,1000,1009,1018,1028,1037,1056,1074,1093,1121,1149,1186,1223,1260,1307,1353,1409,1474,1540,1595,1670,1819,2005,2284
887.4074,0.108104,3,3,924,934,943,952,961,971,980,989,998,1008,1017,1026,1035,1054,1072,1091,1119,1146,1183,1220,1257,1304,1350,1405,1470,1535,1590,1664,1812,1997,2275
880.7407,0.106821,4,3,918,928,937,946,956,965,974,984,993,1002,1012,1021,1031,1049,1068,1087,1115,1143,1180,1218,1255,1302,1349,1405,1471,1536,1592,1667,1817,2004,2285
896.2963,0.108104,5,3,933,943,952,961,970,980,989,998,1007,1017,1026,1035,1044,1063,1081,1100,1128,1155,1192,1229,1266,1313,1359,1414,1479,1544,1599,1673,1821,2006,2284
882.963,0.107604,6,3,920,929,939,948,957,967,976,985,994,1004,1013,1022,1032,1050,1069,1087,1115,1143,1180,1218,1255,1301,1348,1403,1468,1533,1589,1664,1812,1998,2277
883.7037,0.107879,7,3,921,930,939,949,958,967,976,986,995,1004,1013,1023,1032,1051,1069,1088,1115,1143,1180,1217,1254,1301,1347,1403,1468,1533,1588,1662,1811,1996,2274
873.3333,0.106753,8,3,911,920,930,939,948,958,967,976,986,995,1004,1014,1023,1042,1061,1079,1108,1136,1173,1211,1248,1295,1342,1398,1463,1529,1585,1660,1810,1997,2278
