Based on ECC fit measurements to calibration run 1465 provided by O Limousin 08-Dec-2021 (ECMD).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
897.7778,0.109614,0,0,934,943,953,962,971,980,989,998,1007,1016,1025,1035,1044,1062,1080,1098,1126,1153,1190,1226,1263,1308,1354,1409,1473,1536,1591,1664,1810,1993,2266
900.7407,0.109792,1,0,937,946,955,964,974,983,992,1001,1010,1019,1028,1037,1046,1065,1083,1101,1128,1156,1192,1229,1265,1311,1356,1411,1475,1538,1593,1666,1812,1994,2267
898.5185,0.109542,2,0,935,944,953,962,972,981,990,999,1008,1017,1026,1035,1045,1063,1081,1099,1127,1154,1191,1227,1264,1309,1355,1410,1474,1538,1592,1665,1811,1994,2268
898.5185,0.110132,3,0,935,944,953,962,971,980,989,998,1007,1017,1026,1035,1044,1062,1080,1098,1126,1153,1189,1225,1262,1307,1353,1407,1471,1534,1589,1661,1807,1988,2261
890.3704,0.109863,4,0,927,936,945,954,963,972,981,990,1000,1009,1018,1027,1036,1054,1072,1091,1118,1145,1182,1218,1254,1300,1345,1400,1464,1528,1582,1655,1801,1983,2256
902.963,0.11102,5,0,939,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1155,1191,1227,1263,1308,1353,1407,1470,1533,1588,1660,1804,1984,2254
897.7778,0.108661,6,0,935,944,953,962,971,981,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1128,1155,1192,1229,1266,1312,1358,1413,1478,1542,1597,1671,1818,2002,2278
891.1111,0.109863,7,0,928,937,946,955,964,973,982,991,1000,1009,1019,1028,1037,1055,1073,1091,1119,1146,1182,1219,1255,1301,1346,1401,1465,1528,1583,1656,1801,1983,2256
891.1111,0.108347,8,0,928,937,946,956,965,974,983,993,1002,1011,1020,1030,1039,1057,1076,1094,1122,1150,1186,1223,1260,1306,1353,1408,1473,1537,1593,1666,1814,1999,2276
902.963,0.109241,9,0,940,949,958,967,976,985,995,1004,1013,1022,1031,1040,1049,1068,1086,1104,1132,1159,1196,1233,1269,1315,1361,1416,1480,1544,1599,1672,1818,2001,2276
903.7037,0.109756,10,0,940,949,958,967,977,986,995,1004,1013,1022,1031,1040,1049,1068,1086,1104,1131,1159,1195,1232,1268,1314,1359,1414,1478,1541,1596,1669,1815,1997,2270
888.8889,0.110204,11,0,925,934,943,952,961,971,980,989,998,1007,1016,1025,1034,1052,1070,1089,1116,1143,1179,1216,1252,1297,1343,1397,1461,1524,1579,1651,1796,1978,2250
880,0.108329,0,1,917,926,935,945,954,963,972,982,991,1000,1009,1018,1028,1046,1065,1083,1111,1138,1175,1212,1249,1295,1342,1397,1462,1526,1582,1655,1803,1988,2265
892.5926,0.109507,1,1,929,938,947,957,966,975,984,993,1002,1011,1020,1030,1039,1057,1075,1093,1121,1148,1185,1221,1258,1304,1349,1404,1468,1532,1587,1660,1806,1988,2262
891.1111,0.109153,2,1,928,937,946,955,964,974,983,992,1001,1010,1019,1029,1038,1056,1074,1093,1120,1148,1184,1221,1258,1303,1349,1404,1468,1532,1587,1661,1807,1990,2265
888.8889,0.108329,3,1,926,935,944,954,963,972,981,990,1000,1009,1018,1027,1037,1055,1074,1092,1120,1147,1184,1221,1258,1304,1350,1406,1470,1535,1590,1664,1812,1997,2274
878.5185,0.108713,4,1,915,925,934,943,952,961,971,980,989,998,1007,1016,1026,1044,1062,1081,1108,1136,1173,1210,1246,1292,1338,1394,1458,1522,1578,1651,1798,1982,2258
890.3704,0.108312,5,1,927,937,946,955,964,973,983,992,1001,1010,1020,1029,1038,1057,1075,1093,1121,1149,1186,1223,1260,1306,1352,1407,1472,1537,1592,1666,1814,1998,2275
902.2222,0.109525,6,1,939,948,957,966,975,984,994,1003,1012,1021,1030,1039,1048,1067,1085,1103,1130,1158,1194,1231,1267,1313,1359,1414,1477,1541,1596,1669,1815,1998,2272
888.1482,0.108626,7,1,925,934,943,953,962,971,980,989,999,1008,1017,1026,1035,1054,1072,1091,1118,1146,1183,1220,1256,1302,1348,1404,1468,1533,1588,1661,1809,1993,2269
883.7037,0.107638,8,1,921,930,939,949,958,967,977,986,995,1004,1014,1023,1032,1051,1070,1088,1116,1144,1181,1218,1255,1302,1348,1404,1469,1534,1590,1664,1813,1999,2277
882.2222,0.10917,9,1,919,928,937,946,956,965,974,983,992,1001,1010,1020,1029,1047,1065,1084,1111,1139,1175,1212,1249,1294,1340,1395,1459,1523,1578,1652,1798,1981,2256
894.074,0.108538,10,1,931,940,949,959,968,977,986,995,1005,1014,1023,1032,1041,1060,1078,1097,1124,1152,1189,1226,1263,1309,1355,1410,1475,1539,1594,1668,1815,2000,2276
891.1111,0.109792,11,1,928,937,946,955,964,973,982,991,1000,1010,1019,1028,1037,1055,1073,1091,1119,1146,1183,1219,1255,1301,1347,1401,1465,1529,1583,1656,1802,1984,2257
896.2963,0.107896,0,2,933,943,952,961,970,980,989,998,1008,1017,1026,1035,1045,1063,1082,1100,1128,1156,1193,1230,1267,1313,1360,1415,1480,1545,1601,1675,1823,2008,2287
891.8518,0.107931,1,2,929,938,947,957,966,975,985,994,1003,1012,1022,1031,1040,1059,1077,1096,1123,1151,1188,1225,1262,1309,1355,1411,1476,1540,1596,1670,1818,2004,2282
897.037,0.108731,2,2,934,943,952,961,971,980,989,998,1007,1017,1026,1035,1044,1063,1081,1099,1127,1155,1191,1228,1265,1311,1357,1412,1476,1541,1596,1670,1817,2001,2277
897.037,0.107776,3,2,934,943,953,962,971,981,990,999,1008,1018,1027,1036,1045,1064,1083,1101,1129,1157,1194,1231,1268,1315,1361,1417,1482,1547,1602,1676,1825,2010,2289
897.037,0.107228,4,2,934,944,953,962,972,981,990,1000,1009,1018,1028,1037,1046,1065,1084,1102,1130,1158,1195,1233,1270,1317,1363,1419,1485,1550,1606,1680,1830,2016,2296
904.4445,0.107914,5,2,942,951,960,969,979,988,997,1006,1016,1025,1034,1043,1053,1071,1090,1108,1136,1164,1201,1238,1275,1321,1368,1423,1488,1553,1609,1683,1831,2016,2294
892.5926,0.107416,6,2,930,939,948,958,967,976,986,995,1004,1014,1023,1032,1042,1060,1079,1097,1125,1153,1191,1228,1265,1312,1358,1414,1479,1544,1600,1675,1824,2010,2289
902.2222,0.108017,7,2,939,949,958,967,976,986,995,1004,1013,1023,1032,1041,1050,1069,1087,1106,1134,1161,1198,1236,1273,1319,1365,1421,1485,1550,1606,1680,1828,2013,2291
