Based on ECC fit measurements to calibration runs 1657 and 1658 provided by O Limousin 16-May-2022. Applied on 01-Jun-2022. (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
897.7778,0.109845,0,0,934,943,952,962,971,980,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1125,1153,1189,1226,1262,1307,1353,1408,1471,1535,1590,1662,1808,1990,2263
900.7407,0.109935,1,0,937,946,955,964,974,983,992,1001,1010,1019,1028,1037,1046,1064,1083,1101,1128,1155,1192,1228,1265,1310,1356,1410,1474,1537,1592,1665,1810,1992,2265
897.7778,0.109614,2,0,934,943,953,962,971,980,989,998,1007,1016,1025,1035,1044,1062,1080,1098,1126,1153,1190,1226,1263,1308,1354,1409,1473,1536,1591,1664,1810,1993,2266
899.2593,0.110583,3,0,935,944,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1189,1225,1261,1306,1351,1406,1469,1532,1587,1659,1804,1984,2256
889.6296,0.109917,4,0,926,935,944,953,962,972,981,990,999,1008,1017,1026,1035,1053,1072,1090,1117,1144,1181,1217,1254,1299,1345,1399,1463,1526,1581,1654,1799,1981,2254
902.2222,0.111038,5,0,938,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1064,1082,1100,1127,1154,1190,1226,1262,1307,1353,1407,1470,1533,1587,1659,1803,1983,2253
897.7778,0.108818,6,0,935,944,953,962,971,980,990,999,1008,1017,1026,1036,1045,1063,1082,1100,1128,1155,1192,1229,1265,1311,1357,1412,1477,1541,1596,1670,1817,2001,2276
890.3704,0.109863,7,0,927,936,945,954,963,972,981,990,1000,1009,1018,1027,1036,1054,1072,1091,1118,1145,1182,1218,1254,1300,1345,1400,1464,1528,1582,1655,1801,1983,2256
891.1111,0.108818,8,0,928,937,946,955,965,974,983,992,1001,1011,1020,1029,1038,1057,1075,1093,1121,1148,1185,1222,1259,1305,1351,1406,1470,1534,1590,1663,1810,1994,2270
903.7037,0.109738,9,0,940,949,958,967,977,986,995,1004,1013,1022,1031,1040,1050,1068,1086,1104,1132,1159,1195,1232,1268,1314,1359,1414,1478,1542,1596,1669,1815,1997,2271
