Based on ECC fit measurements to calibration runs 1830 and 1831 provided by O Limousin 29-Aug-2022 (ECMD).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(/edges_1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
897.037,0.109899,0,0,933,943,952,961,970,979,988,997,1006,1015,1024,1034,1043,1061,1079,1097,1125,1152,1188,1225,1261,1307,1352,1407,1470,1534,1589,1661,1807,1989,2262
900.7407,0.11015,1,0,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1046,1064,1082,1100,1128,1155,1191,1228,1264,1309,1355,1409,1473,1536,1591,1663,1809,1990,2263
897.7778,0.109863,2,0,934,943,952,961,971,980,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1125,1153,1189,1225,1262,1307,1353,1408,1471,1535,1590,1662,1808,1990,2263
899.2593,0.110783,3,0,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1224,1260,1305,1351,1405,1468,1531,1585,1657,1802,1982,2253
889.6296,0.11015,4,0,926,935,944,953,962,971,980,989,999,1008,1017,1026,1035,1053,1071,1089,1117,1144,1180,1216,1253,1298,1344,1398,1462,1525,1580,1652,1797,1979,2251
901.4815,0.111111,5,0,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1126,1153,1189,1225,1261,1306,1351,1405,1468,1531,1585,1657,1801,1981,2251
898.5185,0.109294,6,0,935,944,953,963,972,981,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1127,1155,1191,1228,1265,1310,1356,1411,1475,1539,1594,1667,1813,1996,2271
889.6296,0.109935,7,0,926,935,944,953,962,971,981,990,999,1008,1017,1026,1035,1053,1072,1090,1117,1144,1181,1217,1253,1299,1344,1399,1463,1526,1581,1654,1799,1981,2254
890.3704,0.108871,8,0,927,936,945,955,964,973,982,991,1001,1010,1019,1028,1037,1056,1074,1092,1120,1148,1184,1221,1258,1304,1350,1405,1469,1533,1588,1662,1809,1993,2268
902.963,0.109703,9,0,939,949,958,967,976,985,994,1003,1012,1021,1031,1040,1049,1067,1085,1104,1131,1158,1195,1231,1268,1313,1359,1413,1477,1541,1596,1669,1815,1997,2270
