Based on ECC fit measurements to calibration runs 1961 and 1962 provided by O Limousin 14-Dec-2022. From ELUT7_ECC_para_1961_1962.fits (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(basefile = ScienceEnergyChannels_20221216.csv'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 4.45 keV,ADC Edge 2 - 4.95 keV,ADC Edge 3 - 5.45 keV,ADC Edge 4 - 5.95 keV,ADC Edge 5 - 6.45 keV,ADC Edge 6 - 6.95 keV,ADC Edge 7 - 7.35 keV,ADC Edge 8 - 7.75 keV,ADC Edge 9 - 8.25 keV,ADC Edge 10 - 8.75 keV,ADC Edge 11 - 9.25 keV,ADC Edge 12 - 10.00 keV,ADC Edge 13 - 10.50 keV,ADC Edge 14 - 11.00 keV,ADC Edge 15 - 12.00 keV,ADC Edge 16 - 13.00 keV,ADC Edge 17 - 15.00 keV,ADC Edge 18 - 18.00 keV,ADC Edge 19 - 21.00 keV,ADC Edge 20 - 25.00 keV,ADC Edge 21 - 28.00 keV,ADC Edge 22 - 32.00 keV,ADC Edge 23 - 36.00 keV,ADC Edge 24 - 43.00 keV,ADC Edge 25 - 50.00 keV,ADC Edge 26 - 59.00 keV,ADC Edge 27 - 70.00 keV,ADC Edge 28 - 84.00 keV,ADC Edge 29 - 110.00 keV,ADC Edge 30 - 150.00 keV
897.037048,0.10989907,0,0,933,938,942,947,951,956,960,964,968,972,977,981,988,993,997,1006,1015,1034,1061,1088,1125,1152,1188,1225,1288,1352,1434,1534,1661,1898,2262
900.740723,0.11024008,1,0,937,941,946,950,955,959,964,967,971,976,980,985,991,996,1001,1010,1019,1037,1064,1091,1128,1155,1191,1227,1291,1354,1436,1536,1663,1899,2261
897.777771,0.10997068,2,0,934,938,943,947,952,956,961,965,968,973,977,982,989,993,998,1007,1016,1034,1061,1089,1125,1152,1189,1225,1289,1352,1434,1534,1662,1898,2262
900,0.11107454,3,0,936,940,945,949,954,958,963,966,970,974,979,983,990,995,999,1008,1017,1035,1062,1089,1125,1152,1188,1224,1287,1350,1431,1530,1656,1890,2250
889.629639,0.11015013,4,0,926,930,935,939,944,948,953,956,960,965,969,974,980,985,989,999,1008,1026,1053,1080,1117,1144,1180,1216,1280,1344,1425,1525,1652,1888,2251
902.222229,0.11140452,5,0,938,942,947,951,956,960,965,968,972,976,981,985,992,996,1001,1010,1019,1037,1064,1091,1127,1154,1189,1225,1288,1351,1432,1531,1656,1890,2249
899.259277,0.10957793,6,0,936,940,944,949,954,958,963,966,970,975,979,984,991,995,1000,1009,1018,1036,1064,1091,1127,1155,1191,1228,1292,1356,1438,1538,1666,1903,2268
889.629639,0.11006034,7,0,926,930,935,939,944,948,953,956,960,965,969,974,980,985,990,999,1008,1026,1053,1080,1117,1144,1180,1217,1280,1344,1426,1526,1653,1889,2253
890.370361,0.10887096,8,0,927,931,936,940,945,950,954,958,962,966,971,975,982,987,991,1001,1010,1028,1056,1083,1120,1148,1184,1221,1285,1350,1432,1533,1662,1901,2268
902.962952,0.10980966,9,0,939,943,948,953,957,962,966,970,974,978,983,987,994,999,1003,1012,1021,1040,1067,1094,1131,1158,1194,1231,1295,1358,1440,1540,1668,1905,2269
902.222229,0.11015013,10,0,939,943,947,952,956,961,965,969,973,977,982,986,993,998,1002,1011,1020,1038,1066,1093,1129,1156,1193,1229,1293,1356,1438,1538,1665,1901,2264
888.148193,0.11056511,11,0,924,928,933,937,942,946,951,955,958,963,967,972,979,983,988,997,1006,1024,1051,1078,1114,1141,1178,1214,1277,1340,1422,1521,1648,1883,2245
879.259277,0.1086257,0,1,916,920,925,929,934,939,943,947,951,955,960,964,971,976,981,990,999,1017,1045,1073,1109,1137,1174,1211,1275,1340,1422,1524,1653,1892,2260
894.074036,0.11031214,1,1,930,934,939,943,948,953,957,961,964,969,973,978,985,989,994,1003,1012,1030,1057,1084,1121,1148,1184,1220,1284,1347,1429,1529,1656,1891,2254
891.851807,0.1097561,2,1,928,932,937,942,946,951,955,959,962,967,972,976,983,988,992,1001,1010,1029,1056,1083,1120,1147,1183,1220,1284,1347,1429,1530,1657,1894,2259
888.888916,0.10867816,3,1,926,930,934,939,944,948,953,957,960,965,969,974,981,986,990,999,1009,1027,1055,1082,1119,1147,1183,1220,1285,1349,1432,1533,1662,1901,2269
877.777771,0.1089061,4,1,915,919,923,928,932,937,942,945,949,954,958,963,970,974,979,988,997,1016,1043,1071,1107,1135,1172,1208,1273,1337,1420,1521,1649,1888,2255
890.370361,0.10887096,5,1,927,931,936,940,945,950,954,958,962,966,971,975,982,987,991,1001,1010,1028,1056,1083,1120,1148,1184,1221,1285,1350,1432,1533,1662,1901,2268
901.481506,0.10986328,6,1,938,942,947,951,956,960,965,968,972,977,981,986,993,997,1002,1011,1020,1038,1065,1093,1129,1156,1193,1229,1293,1357,1439,1539,1666,1903,2267
888.148193,0.10899403,7,1,925,929,934,938,943,947,952,956,959,964,968,973,980,984,989,998,1007,1026,1053,1081,1118,1145,1182,1218,1283,1347,1429,1530,1659,1897,2264
883.703735,0.10822511,8,1,921,925,929,934,939,943,948,952,955,960,965,969,976,981,985,995,1004,1022,1050,1078,1115,1142,1179,1216,1281,1346,1429,1531,1660,1900,2270
882.962952,0.10980966,9,1,919,923,928,933,937,942,946,950,954,958,963,967,974,979,983,992,1001,1020,1047,1074,1111,1138,1174,1211,1275,1338,1420,1520,1648,1885,2249
894.814819,0.10924097,10,1,931,936,940,945,949,954,958,962,966,970,975,979,986,991,996,1005,1014,1032,1060,1087,1124,1151,1188,1224,1288,1353,1435,1536,1664,1902,2268
888.888916,0.10984541,11,1,925,929,934,939,943,948,952,956,959,964,969,973,980,984,989,998,1007,1025,1053,1080,1116,1144,1180,1217,1280,1344,1426,1526,1654,1890,2254
897.037048,0.10850346,0,2,934,938,943,947,952,956,961,965,968,973,978,982,989,994,998,1008,1017,1035,1063,1091,1127,1155,1192,1229,1293,1358,1441,1542,1671,1911,2279
892.59259,0.1085558,1,2,929,934,938,943,947,952,957,960,964,969,973,978,985,989,994,1003,1012,1031,1058,1086,1123,1151,1187,1224,1289,1353,1436,1537,1666,1906,2274
896.296265,0.10904685,2,2,933,937,942,946,951,955,960,964,967,972,977,981,988,993,997,1006,1016,1034,1061,1089,1126,1153,1190,1226,1291,1355,1437,1538,1667,1905,2272
897.037048,0.10813841,3,2,934,938,943,947,952,957,961,965,969,973,978,983,990,994,999,1008,1017,1036,1063,1091,1128,1156,1193,1230,1295,1359,1443,1544,1674,1914,2284
897.777771,0.10772423,4,2,935,939,944,948,953,958,962,966,970,974,979,984,991,995,1000,1009,1018,1037,1065,1093,1130,1158,1195,1232,1297,1362,1445,1548,1678,1919,2290
905.925964,0.10871316,5,2,943,947,951,956,961,965,970,974,977,982,986,991,998,1003,1007,1016,1026,1044,1071,1099,1136,1163,1200,1237,1301,1366,1449,1550,1679,1918,2286
891.851807,0.10768986,6,2,929,933,938,942,947,952,956,960,964,968,973,978,985,989,994,1003,1013,1031,1059,1087,1124,1152,1189,1226,1291,1356,1440,1542,1672,1913,2285
901.481506,0.10831195,7,2,938,943,947,952,956,961,966,969,973,978,982,987,994,998,1003,1012,1022,1040,1068,1095,1132,1160,1197,1234,1298,1363,1446,1548,1677,1917,2286
886.666687,0.10819042,8,2,924,928,932,937,942,946,951,955,958,963,968,972,979,984,988,998,1007,1025,1053,1081,1118,1145,1182,1219,1284,1349,1432,1534,1663,1903,2273
880,0.10687143,9,2,917,922,926,931,936,940,945,949,953,957,962,967,974,978,983,992,1002,1020,1048,1076,1114,1142,1179,1217,1282,1348,1432,1535,1666,1909,2284
897.777771,0.10772423,10,2,935,939,944,948,953,958,962,966,970,974,979,984,991,995,1000,1009,1018,1037,1065,1093,1130,1158,1195,1232,1297,1362,1445,1548,1678,1919,2290
903.703735,0.10820777,11,2,941,945,949,954,959,963,968,972,975,980,985,989,996,1001,1005,1015,1024,1042,1070,1098,1135,1162,1199,1236,1301,1366,1449,1551,1680,1920,2290
874.814819,0.1084686,0,3,912,916,920,925,930,934,939,943,946,951,955,960,967,972,976,985,995,1013,1041,1068,1105,1133,1170,1207,1271,1336,1419,1520,1649,1889,2258
875.555542,0.10817308,1,3,913,917,921,926,931,935,940,944,947,952,956,961,968,973,977,986,996,1014,1042,1070,1107,1134,1171,1208,1273,1338,1421,1523,1652,1892,2262
888.148193,0.10838151,2,3,925,929,934,938,943,948,952,956,960,964,969,973,980,985,990,999,1008,1027,1054,1082,1119,1146,1183,1220,1285,1349,1433,1534,1663,1903,2272
887.40741,0.10906447,3,3,924,928,933,937,942,947,951,955,958,963,968,972,979,984,988,997,1007,1025,1052,1080,1117,1144,1181,1217,1282,1346,1428,1529,1658,1896,2263
880.740723,0.10767267,4,3,918,922,927,931,936,941,945,949,953,957,962,967,974,978,983,992,1001,1020,1048,1076,1113,1141,1178,1215,1280,1345,1429,1531,1661,1902,2274
896.296265,0.10904685,5,3,933,937,942,946,951,955,960,964,967,972,977,981,988,993,997,1006,1016,1034,1061,1089,1126,1153,1190,1226,1291,1355,1437,1538,1667,1905,2272
882.962952,0.10853835,6,3,920,924,929,933,938,942,947,951,954,959,964,968,975,980,984,994,1003,1021,1049,1076,1113,1141,1178,1215,1279,1344,1427,1528,1657,1896,2265
882.962952,0.10852091,7,3,920,924,929,933,938,942,947,951,954,959,964,968,975,980,984,994,1003,1021,1049,1076,1113,1141,1178,1215,1279,1344,1427,1528,1657,1897,2265
872.59259,0.10741566,8,3,910,914,919,923,928,933,937,941,945,949,954,959,966,970,975,984,994,1012,1040,1068,1105,1133,1171,1208,1273,1338,1422,1524,1655,1897,2269
881.481506,0.10739858,9,3,919,923,928,932,937,942,946,950,954,958,963,968,975,979,984,993,1003,1021,1049,1077,1114,1142,1179,1217,1282,1347,1431,1533,1664,1906,2278
889.629639,0.10801729,10,3,927,931,935,940,945,949,954,958,961,966,971,975,982,987,991,1001,1010,1028,1056,1084,1121,1149,1186,1223,1288,1353,1436,1538,1667,1908,2278
873.333313,0.10888853,11,3,910,914,919,923,928,933,937,941,945,949,954,958,965,970,974,984,993,1011,1039,1066,1103,1130,1167,1204,1268,1333,1415,1516,1645,1884,2251
910.370361,0.11056511,0,4,947,951,955,960,964,969,973,977,980,985,990,994,1001,1005,1010,1019,1028,1046,1073,1100,1136,1164,1200,1236,1299,1363,1444,1543,1670,1905,2267
910.370361,0.11007828,1,4,947,951,955,960,964,969,974,977,981,985,990,994,1001,1006,1010,1019,1028,1047,1074,1101,1137,1165,1201,1237,1301,1365,1446,1546,1673,1910,2273
917.037048,0.11092852,2,4,953,957,962,966,971,975,980,983,987,991,996,1000,1007,1012,1016,1025,1034,1052,1079,1106,1142,1169,1206,1242,1305,1368,1449,1548,1674,1909,2269
903.703735,0.10952458,3,4,940,944,949,953,958,963,967,971,974,979,984,988,995,1000,1004,1013,1022,1041,1068,1095,1132,1159,1196,1232,1296,1360,1442,1543,1671,1908,2273
909.629639,0.10956013,4,4,946,950,955,959,964,969,973,977,980,985,989,994,1001,1005,1010,1019,1028,1047,1074,1101,1138,1165,1202,1238,1302,1366,1448,1549,1676,1914,2279
912.59259,0.10988116,5,4,949,953,958,962,967,971,976,979,983,988,992,997,1004,1008,1013,1022,1031,1049,1076,1104,1140,1167,1204,1240,1304,1368,1450,1550,1677,1914,2278
906.666687,0.11089207,6,4,943,947,951,956,960,965,969,973,977,981,986,990,997,1001,1006,1015,1024,1042,1069,1096,1132,1159,1195,1231,1294,1358,1439,1538,1664,1899,2259
914.074036,0.1097561,7,4,951,955,959,964,968,973,977,981,985,989,994,998,1005,1010,1014,1023,1033,1051,1078,1105,1142,1169,1206,1242,1306,1370,1452,1552,1679,1916,2281
906.666687,0.10970258,8,4,943,947,952,956,961,965,970,974,977,982,986,991,998,1002,1007,1016,1025,1043,1071,1098,1135,1162,1198,1235,1299,1362,1444,1545,1672,1909,2274
912.59259,0.11009623,9,4,949,953,958,962,967,971,976,979,983,988,992,997,1003,1008,1013,1022,1031,1049,1076,1103,1140,1167,1203,1240,1303,1367,1448,1548,1676,1912,2275
