Based on ECC fit measurements to calibration runs 2194 and 2195 provided by O Limousin. From ELUT8_ECC_para_2194_2195.fits - (6-Jun-2023 ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel energy edges obtained from stx_science_energy_channels(basefile = 'ScienceEnergyChannels_1000.csv',/reset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
897.037,0.110258,0,0,933,942,951,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1078,1097,1124,1151,1187,1224,1260,1305,1351,1405,1468,1532,1586,1659,1804,1985,2257
900,0.110565,1,0,936,945,954,963,972,981,990,999,1009,1018,1027,1036,1045,1063,1081,1099,1126,1153,1189,1226,1262,1307,1352,1406,1470,1533,1587,1660,1804,1985,2257
897.7778,0.110348,2,0,934,943,952,961,970,979,988,997,1007,1016,1025,1034,1043,1061,1079,1097,1124,1152,1188,1224,1260,1306,1351,1405,1469,1532,1587,1659,1804,1985,2257
899.2593,0.111129,3,0,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1061,1079,1097,1124,1151,1187,1223,1259,1304,1349,1403,1466,1529,1583,1655,1799,1979,2249
890.3704,0.110783,4,0,926,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1053,1071,1089,1116,1143,1179,1215,1251,1297,1342,1396,1459,1522,1576,1649,1793,1974,2244
901.4815,0.111663,5,0,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1125,1152,1188,1224,1260,1304,1349,1403,1466,1528,1582,1654,1797,1976,2245
897.037,0.109329,6,0,934,943,952,961,970,979,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1126,1153,1190,1226,1263,1309,1354,1409,1473,1537,1592,1665,1812,1995,2269
889.6296,0.110493,7,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1143,1179,1215,1252,1297,1342,1396,1460,1523,1577,1650,1795,1976,2247
891.1111,0.109525,8,0,928,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1055,1074,1092,1119,1147,1183,1220,1256,1302,1348,1402,1466,1530,1585,1658,1804,1987,2261
902.963,0.110457,9,0,939,948,957,966,975,984,993,1003,1012,1021,1030,1039,1048,1066,1084,1102,1129,1156,1193,1229,1265,1310,1356,1410,1473,1537,1591,1663,1808,1989,2261
902.963,0.11071,10,0,939,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1066,1084,1102,1129,1156,1192,1228,1264,1309,1355,1409,1472,1535,1589,1662,1806,1987,2258
887.4074,0.110837,11,0,923,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1086,1113,1140,1176,1212,1248,1293,1339,1393,1456,1519,1573,1645,1790,1970,2241
879.2593,0.109223,0,1,916,925,934,943,953,962,971,980,989,998,1007,1017,1026,1044,1062,1081,1108,1136,1172,1209,1245,1291,1337,1392,1456,1520,1575,1648,1795,1978,2253
892.5926,0.110384,1,1,929,938,947,956,965,974,983,992,1001,1010,1019,1028,1038,1056,1074,1092,1119,1146,1182,1219,1255,1300,1346,1400,1463,1527,1581,1654,1799,1980,2251
891.8518,0.11015,2,1,928,937,946,955,964,974,983,992,1001,1010,1019,1028,1037,1055,1073,1092,1119,1146,1182,1219,1255,1300,1346,1400,1464,1527,1582,1654,1800,1981,2254
888.8889,0.109276,3,1,925,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1054,1072,1090,1118,1145,1182,1218,1255,1301,1346,1401,1465,1529,1584,1658,1804,1987,2262
877.7778,0.109312,4,1,914,924,933,942,951,960,969,978,988,997,1006,1015,1024,1042,1061,1079,1106,1134,1171,1207,1244,1289,1335,1390,1454,1518,1573,1646,1793,1976,2250
890.3704,0.109241,5,1,927,936,945,954,964,973,982,991,1000,1009,1019,1028,1037,1055,1073,1092,1119,1147,1183,1220,1257,1302,1348,1403,1467,1531,1586,1659,1806,1989,2263
900.7407,0.110132,6,1,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1046,1064,1082,1101,1128,1155,1191,1228,1264,1309,1355,1409,1473,1536,1591,1663,1809,1990,2263
888.1482,0.109578,7,1,925,934,943,952,961,970,979,989,998,1007,1016,1025,1034,1052,1071,1089,1116,1144,1180,1217,1253,1299,1344,1399,1463,1527,1582,1655,1801,1983,2257
883.7037,0.108818,8,1,920,930,939,948,957,966,976,985,994,1003,1012,1022,1031,1049,1067,1086,1113,1141,1178,1215,1251,1297,1343,1398,1463,1527,1582,1656,1803,1986,2262
881.4815,0.110078,9,1,918,927,936,945,954,963,972,981,990,1000,1009,1018,1027,1045,1063,1081,1109,1136,1172,1209,1245,1290,1336,1390,1454,1517,1572,1645,1790,1972,2244
893.3333,0.109436,10,1,930,939,948,957,966,976,985,994,1003,1012,1021,1030,1040,1058,1076,1094,1122,1149,1186,1222,1259,1305,1350,1405,1469,1533,1588,1661,1807,1990,2264
889.6296,0.110493,11,1,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1143,1179,1215,1252,1297,1342,1396,1460,1523,1577,1650,1795,1976,2247
897.037,0.108976,0,2,934,943,952,961,970,980,989,998,1007,1016,1026,1035,1044,1062,1081,1099,1126,1154,1191,1227,1264,1310,1356,1411,1475,1539,1594,1668,1815,1998,2273
891.8518,0.108871,1,2,929,938,947,956,965,975,984,993,1002,1011,1020,1030,1039,1057,1076,1094,1121,1149,1186,1223,1259,1305,1351,1406,1471,1535,1590,1663,1810,1994,2270
895.5555,0.109329,2,2,932,941,950,960,969,978,987,996,1005,1014,1024,1033,1042,1060,1078,1097,1124,1152,1188,1225,1261,1307,1353,1408,1472,1536,1591,1664,1810,1993,2268
897.7778,0.108783,3,2,935,944,953,962,971,981,990,999,1008,1017,1026,1036,1045,1063,1082,1100,1128,1155,1192,1229,1265,1311,1357,1413,1477,1541,1596,1670,1817,2001,2277
897.037,0.108138,4,2,934,943,953,962,971,980,990,999,1008,1017,1027,1036,1045,1063,1082,1100,1128,1156,1193,1230,1267,1313,1359,1415,1480,1544,1600,1674,1822,2007,2284
905.1852,0.108906,5,2,942,951,960,969,979,988,997,1006,1015,1025,1034,1043,1052,1070,1089,1107,1135,1162,1199,1236,1272,1318,1364,1419,1484,1548,1603,1676,1823,2007,2283
891.8518,0.108156,6,2,929,938,947,957,966,975,984,994,1003,1012,1021,1031,1040,1058,1077,1095,1123,1151,1188,1225,1262,1308,1354,1410,1474,1539,1595,1669,1816,2001,2279
901.4815,0.108766,7,2,938,947,957,966,975,984,993,1003,1012,1021,1030,1039,1049,1067,1085,1104,1131,1159,1196,1232,1269,1315,1361,1416,1481,1545,1600,1674,1821,2005,2281
885.926,0.108713,8,2,923,932,941,950,960,969,978,987,996,1006,1015,1024,1033,1051,1070,1088,1116,1143,1180,1217,1254,1300,1346,1401,1465,1530,1585,1659,1806,1990,2266
877.7778,0.106922,9,2,915,925,934,943,953,962,971,981,990,999,1009,1018,1027,1046,1065,1084,1112,1140,1177,1214,1252,1299,1345,1402,1467,1532,1589,1663,1813,2000,2281
897.037,0.108035,10,2,934,943,953,962,971,980,990,999,1008,1017,1027,1036,1045,1064,1082,1101,1128,1156,1193,1230,1267,1314,1360,1415,1480,1545,1601,1675,1823,2008,2285
