"Based on ECC fit measurements to calibration runs 2103, 2104, 2106 and 2108 provided by O Limousin. From ELUT9_ECC_para_2103_2104_2106_2108.fits - (12-jun-2023 ECMD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel energy edges obtained from stx_science_energy_channels(basefile = 'ScienceEnergyChannels_1000.csv',/reset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
896.2963,0.109614,0,0,933,942,951,960,969,978,988,997,1006,1015,1024,1033,1042,1061,1079,1097,1124,1152,1188,1225,1261,1307,1352,1407,1471,1535,1590,1663,1809,1991,2265
900.7407,0.11015,1,0,937,946,955,964,973,982,992,1001,1010,1019,1028,1037,1046,1064,1082,1100,1128,1155,1191,1228,1264,1309,1355,1409,1473,1536,1591,1663,1809,1990,2263
897.7778,0.109863,2,0,934,943,952,961,971,980,989,998,1007,1016,1025,1034,1043,1062,1080,1098,1125,1153,1189,1225,1262,1307,1353,1408,1471,1535,1590,1662,1808,1990,2263
899.2593,0.110783,3,0,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1224,1260,1305,1351,1405,1468,1531,1585,1657,1802,1982,2253
889.6296,0.110132,4,0,926,935,944,953,962,971,980,990,999,1008,1017,1026,1035,1053,1071,1089,1117,1144,1180,1217,1253,1298,1344,1398,1462,1525,1580,1652,1798,1979,2252
901.4815,0.111093,5,0,937,946,955,964,973,982,991,1000,1009,1019,1028,1037,1046,1064,1082,1100,1127,1154,1190,1226,1262,1307,1352,1406,1469,1532,1586,1658,1802,1982,2252
897.7778,0.109012,6,0,934,944,953,962,971,980,990,999,1008,1017,1026,1035,1045,1063,1081,1100,1127,1155,1191,1228,1265,1311,1356,1411,1476,1540,1595,1668,1815,1999,2274
889.6296,0.109917,7,0,926,935,944,953,962,972,981,990,999,1008,1017,1026,1035,1053,1072,1090,1117,1144,1181,1217,1254,1299,1345,1399,1463,1526,1581,1654,1799,1981,2254
889.6296,0.108608,8,0,926,936,945,954,963,972,982,991,1000,1009,1019,1028,1037,1055,1074,1092,1120,1147,1184,1221,1258,1304,1350,1405,1470,1534,1589,1663,1810,1995,2271
903.7037,0.11006,9,0,940,949,958,967,976,985,995,1004,1013,1022,1031,1040,1049,1067,1085,1104,1131,1158,1194,1231,1267,1313,1358,1413,1476,1540,1594,1667,1812,1994,2267
902.963,0.110096,10,0,939,948,957,967,976,985,994,1003,1012,1021,1030,1039,1048,1066,1085,1103,1130,1157,1194,1230,1266,1312,1357,1412,1475,1539,1593,1666,1811,1993,2265
887.4074,0.110366,11,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1051,1069,1087,1114,1141,1177,1214,1250,1295,1340,1395,1458,1522,1576,1649,1793,1975,2247
880,0.108678,0,1,917,926,935,944,954,963,972,981,990,1000,1009,1018,1027,1046,1064,1082,1110,1138,1174,1211,1248,1294,1340,1395,1460,1524,1579,1653,1800,1984,2260
892.5926,0.109863,1,1,929,938,947,956,965,975,984,993,1002,1011,1020,1029,1038,1056,1075,1093,1120,1147,1184,1220,1257,1302,1348,1402,1466,1530,1584,1657,1803,1985,2258
891.8518,0.109738,2,1,928,937,947,956,965,974,983,992,1001,1010,1019,1029,1038,1056,1074,1092,1120,1147,1183,1220,1256,1302,1347,1402,1466,1530,1584,1657,1803,1985,2259
888.8889,0.108661,3,1,926,935,944,953,963,972,981,990,999,1009,1018,1027,1036,1055,1073,1091,1119,1147,1183,1220,1257,1303,1349,1404,1469,1533,1588,1662,1809,1993,2269
877.7778,0.108766,4,1,915,924,933,942,951,961,970,979,988,997,1006,1016,1025,1043,1062,1080,1108,1135,1172,1209,1246,1292,1337,1393,1457,1521,1577,1650,1797,1981,2257
889.6296,0.108591,5,1,926,936,945,954,963,973,982,991,1000,1009,1019,1028,1037,1055,1074,1092,1120,1147,1184,1221,1258,1304,1350,1405,1470,1534,1590,1663,1811,1995,2271
900.7407,0.10956,6,1,937,946,956,965,974,983,992,1001,1010,1019,1029,1038,1047,1065,1083,1102,1129,1156,1193,1229,1266,1311,1357,1412,1476,1540,1594,1667,1813,1996,2270
888.1482,0.108994,7,1,925,934,943,952,962,971,980,989,998,1007,1017,1026,1035,1053,1072,1090,1118,1145,1182,1218,1255,1301,1347,1402,1466,1530,1585,1659,1806,1989,2264
883.7037,0.108208,8,1,921,930,939,948,958,967,976,985,995,1004,1013,1022,1032,1050,1069,1087,1115,1142,1179,1216,1253,1300,1346,1401,1466,1531,1586,1660,1808,1993,2270
