Based on ECC fit measurements to calibration runs 2235 to 2236 provided by O Limousin 10-jul-2023. From ELUT10_ECC_para_2235_2236.fits (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel energy edges obtained from stx_science_energy_channels(basefile = 'ScienceEnergyChannels_20230519.csv') ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 5.50 keV,ADC Edge 2 - 6.30 keV,ADC Edge 3 - 6.56 keV,ADC Edge 4 - 6.80 keV,ADC Edge 5 - 7.30 keV,ADC Edge 6 - 8.00 keV,ADC Edge 7 - 9.00 keV,ADC Edge 8 - 10.00 keV,ADC Edge 9 - 11.00 keV,ADC Edge 10 - 13.00 keV,ADC Edge 11 - 15.00 keV,ADC Edge 12 - 17.00 keV,ADC Edge 13 - 19.00 keV,ADC Edge 14 - 21.00 keV,ADC Edge 15 - 23.00 keV,ADC Edge 16 - 25.00 keV,ADC Edge 17 - 28.00 keV,ADC Edge 18 - 32.00 keV,ADC Edge 19 - 36.00 keV,ADC Edge 20 - 40.00 keV,ADC Edge 21 - 45.00 keV,ADC Edge 22 - 50.00 keV,ADC Edge 23 - 56.00 keV,ADC Edge 24 - 63.00 keV,ADC Edge 25 - 70.00 keV,ADC Edge 26 - 76.00 keV,ADC Edge 27 - 84.00 keV,ADC Edge 28 - 100.00 keV,ADC Edge 29 - 120.00 keV,ADC Edge 30 - 150.00 keV
897.037,0.110024,0,0,933,947,954,957,959,963,970,979,988,997,1015,1033,1052,1070,1088,1106,1124,1152,1188,1224,1261,1306,1351,1406,1470,1533,1588,1661,1806,1988,2260
900,0.110204,1,0,936,950,957,960,962,966,973,982,991,1000,1018,1036,1054,1072,1091,1109,1127,1154,1190,1227,1263,1308,1354,1408,1472,1535,1590,1662,1807,1989,2261
897.037,0.109917,2,0,933,947,954,957,959,963,970,979,988,997,1015,1034,1052,1070,1088,1106,1124,1152,1188,1225,1261,1306,1352,1407,1470,1534,1588,1661,1807,1989,2262
898.5185,0.110837,3,0,935,948,955,958,960,964,971,980,989,998,1016,1034,1052,1070,1088,1106,1124,1151,1187,1223,1259,1305,1350,1404,1467,1530,1584,1656,1801,1981,2252
889.6296,0.110438,4,0,926,939,947,949,951,956,962,971,980,989,1007,1025,1044,1062,1080,1098,1116,1143,1179,1216,1252,1297,1342,1397,1460,1523,1578,1650,1795,1976,2248
900.7407,0.111166,5,0,937,950,957,960,962,966,973,982,991,1000,1018,1036,1054,1072,1090,1108,1126,1153,1189,1225,1261,1306,1351,1404,1467,1530,1584,1656,1800,1980,2250
897.7778,0.109259,6,0,934,948,955,958,960,965,971,980,989,998,1017,1035,1053,1072,1090,1108,1127,1154,1191,1227,1264,1310,1355,1410,1474,1538,1593,1667,1813,1996,2271
888.8889,0.109863,7,0,925,939,946,949,951,955,962,971,980,989,1007,1025,1044,1062,1080,1098,1116,1144,1180,1217,1253,1298,1344,1399,1462,1526,1581,1653,1799,1981,2254
889.6296,0.108941,8,0,926,940,947,950,952,957,963,972,981,991,1009,1027,1046,1064,1082,1101,1119,1147,1183,1220,1257,1303,1349,1404,1468,1532,1587,1661,1808,1991,2267
901.4815,0.10972,9,0,938,952,959,961,963,968,974,984,993,1002,1020,1038,1056,1075,1093,1111,1129,1157,1193,1230,1266,1312,1357,1412,1476,1539,1594,1667,1813,1995,2269
902.2222,0.110366,10,0,938,952,959,962,964,968,975,984,993,1002,1020,1038,1056,1074,1092,1111,1129,1156,1192,1228,1265,1310,1355,1410,1473,1536,1591,1663,1808,1990,2261
885.926,0.110042,11,0,922,936,943,946,948,952,959,968,977,986,1004,1022,1040,1059,1077,1095,1113,1140,1177,1213,1249,1295,1340,1395,1458,1522,1577,1649,1795,1976,2249
