Based on ECC fit measurements to calibration runs 2389 to 2390 provided by O Limousin 18-Oct-2023. From ELUT11_ECC_para_2389_2390.fits (ECMD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channel energy edges obtained fromstx_science_energy_channels(basefile = 'ScienceEnergyChannels_1000.csv', /reset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4.00 keV,ADC Edge 1 - 5.00 keV,ADC Edge 2 - 6.00 keV,ADC Edge 3 - 7.00 keV,ADC Edge 4 - 8.00 keV,ADC Edge 5 - 9.00 keV,ADC Edge 6 - 10.00 keV,ADC Edge 7 - 11.00 keV,ADC Edge 8 - 12.00 keV,ADC Edge 9 - 13.00 keV,ADC Edge 10 - 14.00 keV,ADC Edge 11 - 15.00 keV,ADC Edge 12 - 16.00 keV,ADC Edge 13 - 18.00 keV,ADC Edge 14 - 20.00 keV,ADC Edge 15 - 22.00 keV,ADC Edge 16 - 25.00 keV,ADC Edge 17 - 28.00 keV,ADC Edge 18 - 32.00 keV,ADC Edge 19 - 36.00 keV,ADC Edge 20 - 40.00 keV,ADC Edge 21 - 45.00 keV,ADC Edge 22 - 50.00 keV,ADC Edge 23 - 56.00 keV,ADC Edge 24 - 63.00 keV,ADC Edge 25 - 70.00 keV,ADC Edge 26 - 76.00 keV,ADC Edge 27 - 84.00 keV,ADC Edge 28 - 100.00 keV,ADC Edge 29 - 120.00 keV,ADC Edge 30 - 150.00 keV
897.037,0.110132,0,0,933,942,952,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1079,1097,1124,1151,1188,1224,1260,1306,1351,1406,1469,1533,1587,1660,1805,1987,2259
899.2593,0.110204,1,0,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1063,1081,1099,1126,1153,1190,1226,1262,1308,1353,1407,1471,1534,1589,1661,1807,1988,2260
897.7778,0.110204,2,0,934,943,952,961,970,979,989,998,1007,1016,1025,1034,1043,1061,1079,1097,1125,1152,1188,1224,1261,1306,1351,1406,1469,1533,1587,1660,1805,1987,2259
898.5185,0.110837,3,0,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1061,1079,1097,1124,1151,1187,1223,1259,1305,1350,1404,1467,1530,1584,1656,1801,1981,2252
889.6296,0.110493,4,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1143,1179,1215,1252,1297,1342,1396,1460,1523,1577,1650,1795,1976,2247
901.4815,0.11146,5,0,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1063,1081,1099,1126,1153,1189,1224,1260,1305,1350,1404,1467,1530,1583,1655,1799,1978,2247
897.7778,0.109276,6,0,934,944,953,962,971,980,989,998,1008,1017,1026,1035,1044,1062,1081,1099,1127,1154,1191,1227,1264,1310,1355,1410,1474,1538,1593,1666,1813,1996,2270
890.3704,0.110438,7,0,927,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1053,1071,1090,1117,1144,1180,1216,1253,1298,1343,1397,1461,1524,1579,1651,1796,1977,2249
889.6296,0.108941,8,0,926,936,945,954,963,972,981,991,1000,1009,1018,1027,1036,1055,1073,1092,1119,1147,1183,1220,1257,1303,1349,1404,1468,1532,1587,1661,1808,1991,2267
902.2222,0.11015,9,0,939,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1066,1084,1102,1129,1156,1193,1229,1265,1311,1356,1411,1474,1538,1592,1665,1810,1992,2264
902.2222,0.110366,10,0,938,948,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1102,1129,1156,1192,1228,1265,1310,1355,1410,1473,1536,1591,1663,1808,1990,2261
887.4074,0.110638,11,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1086,1113,1140,1177,1213,1249,1294,1339,1394,1457,1520,1574,1647,1791,1972,2243
878.5185,0.108713,0,1,915,925,934,943,952,961,971,980,989,998,1007,1016,1026,1044,1062,1081,1108,1136,1173,1210,1246,1292,1338,1394,1458,1522,1578,1651,1798,1982,2258
893.3333,0.110384,1,1,930,939,948,957,966,975,984,993,1002,1011,1020,1029,1038,1056,1075,1093,1120,1147,1183,1219,1256,1301,1346,1401,1464,1527,1582,1654,1799,1980,2252
891.1111,0.109792,2,1,928,937,946,955,964,973,982,991,1000,1010,1019,1028,1037,1055,1073,1091,1119,1146,1183,1219,1255,1301,1347,1401,1465,1529,1583,1656,1802,1984,2257
889.6296,0.108959,3,1,926,936,945,954,963,972,981,991,1000,1009,1018,1027,1036,1055,1073,1092,1119,1147,1183,1220,1257,1303,1349,1404,1468,1532,1587,1661,1807,1991,2266
877.7778,0.109047,4,1,914,924,933,942,951,960,969,979,988,997,1006,1015,1025,1043,1061,1080,1107,1135,1171,1208,1245,1290,1336,1391,1456,1520,1575,1648,1795,1978,2253
889.6296,0.108853,5,1,926,936,945,954,963,972,981,991,1000,1009,1018,1027,1037,1055,1073,1092,1119,1147,1184,1220,1257,1303,1349,1404,1468,1533,1588,1661,1808,1992,2268
901.4815,0.110078,6,1,938,947,956,965,974,983,992,1001,1010,1020,1029,1038,1047,1065,1083,1101,1129,1156,1192,1229,1265,1310,1356,1410,1474,1537,1592,1665,1810,1992,2264
887.4074,0.109276,7,1,924,933,942,951,961,970,979,988,997,1006,1016,1025,1034,1052,1070,1089,1116,1144,1180,1217,1253,1299,1345,1400,1464,1528,1583,1656,1803,1986,2260
882.963,0.108295,8,1,920,929,938,948,957,966,975,985,994,1003,1012,1021,1031,1049,1068,1086,1114,1142,1178,1215,1252,1298,1345,1400,1465,1529,1585,1659,1806,1991,2268
880.7407,0.109792,9,1,917,926,935,944,954,963,972,981,990,999,1008,1017,1026,1045,1063,1081,1108,1136,1172,1209,1245,1291,1336,1391,1455,1518,1573,1646,1792,1974,2247
893.3333,0.109188,10,1,930,939,948,957,967,976,985,994,1003,1012,1022,1031,1040,1058,1077,1095,1122,1150,1186,1223,1260,1305,1351,1406,1470,1534,1589,1663,1809,1992,2267
888.1482,0.109917,11,1,925,934,943,952,961,970,979,988,997,1006,1016,1025,1034,1052,1070,1088,1116,1143,1179,1216,1252,1298,1343,1398,1461,1525,1580,1652,1798,1980,2253
896.2963,0.108608,0,2,933,942,952,961,970,979,988,998,1007,1016,1025,1034,1044,1062,1080,1099,1126,1154,1191,1228,1265,1311,1357,1412,1476,1541,1596,1670,1817,2001,2277
891.8518,0.108521,1,2,929,938,947,956,966,975,984,993,1002,1012,1021,1030,1039,1058,1076,1095,1122,1150,1187,1224,1260,1307,1353,1408,1472,1537,1592,1666,1813,1998,2274
895.5555,0.109117,2,2,932,941,951,960,969,978,987,996,1006,1015,1024,1033,1042,1061,1079,1097,1125,1152,1189,1225,1262,1308,1354,1409,1473,1537,1592,1665,1812,1995,2270
897.037,0.108382,3,2,934,943,952,962,971,980,989,999,1008,1017,1026,1035,1045,1063,1082,1100,1128,1155,1192,1229,1266,1312,1358,1414,1478,1543,1598,1672,1820,2004,2281
897.037,0.107914,4,2,934,943,953,962,971,980,990,999,1008,1018,1027,1036,1045,1064,1082,1101,1129,1157,1194,1231,1268,1314,1360,1416,1481,1546,1601,1675,1824,2009,2287
904.4445,0.108503,5,2,941,951,960,969,978,987,997,1006,1015,1024,1033,1043,1052,1070,1089,1107,1135,1163,1199,1236,1273,1319,1365,1421,1485,1550,1605,1679,1826,2010,2287
891.8518,0.107931,6,2,929,938,947,957,966,975,985,994,1003,1012,1022,1031,1040,1059,1077,1096,1123,1151,1188,1225,1262,1309,1355,1411,1476,1540,1596,1670,1818,2004,2282
900.7407,0.10826,7,2,938,947,956,965,975,984,993,1002,1012,1021,1030,1039,1049,1067,1085,1104,1132,1159,1196,1233,1270,1316,1363,1418,1483,1547,1603,1677,1824,2009,2286
883.7037,0.107879,8,2,921,930,939,949,958,967,976,986,995,1004,1013,1023,1032,1051,1069,1088,1115,1143,1180,1217,1254,1301,1347,1403,1468,1533,1588,1662,1811,1996,2274
878.5185,0.107092,9,2,916,925,935,944,953,963,972,981,991,1000,1009,1019,1028,1047,1065,1084,1112,1140,1177,1215,1252,1299,1345,1401,1467,1532,1588,1663,1812,1999,2279
897.037,0.108035,10,2,934,943,953,962,971,980,990,999,1008,1017,1027,1036,1045,1064,1082,1101,1128,1156,1193,1230,1267,1314,1360,1415,1480,1545,1601,1675,1823,2008,2285
904.4445,0.108503,11,2,941,951,960,969,978,987,997,1006,1015,1024,1033,1043,1052,1070,1089,1107,1135,1163,1199,1236,1273,1319,1365,1421,1485,1550,1605,1679,1826,2010,2287
873.3333,0.108486,0,3,910,919,929,938,947,956,966,975,984,993,1002,1012,1021,1039,1058,1076,1104,1131,1168,1205,1242,1288,1334,1390,1454,1519,1574,1648,1795,1979,2256
875.5555,0.108451,1,3,912,922,931,940,949,959,968,977,986,995,1005,1014,1023,1042,1060,1078,1106,1134,1171,1208,1244,1290,1337,1392,1456,1521,1576,1650,1798,1982,2259
888.1482,0.108626,2,3,925,934,943,953,962,971,980,989,999,1008,1017,1026,1035,1054,1072,1091,1118,1146,1183,1220,1256,1302,1348,1404,1468,1533,1588,1661,1809,1993,2269
886.6667,0.108994,3,3,923,933,942,951,960,969,978,988,997,1006,1015,1024,1033,1052,1070,1089,1116,1144,1180,1217,1254,1300,1345,1400,1465,1529,1584,1657,1804,1988,2263
880,0.107741,4,3,917,926,936,945,954,964,973,982,991,1001,1010,1019,1029,1047,1066,1084,1112,1140,1177,1214,1251,1298,1344,1400,1465,1530,1585,1660,1808,1994,2272
895.5555,0.109117,5,3,932,941,951,960,969,978,987,996,1006,1015,1024,1033,1042,1061,1079,1097,1125,1152,1189,1225,1262,1308,1354,1409,1473,1537,1592,1665,1812,1995,2270
881.4815,0.108312,6,3,918,928,937,946,955,965,974,983,992,1002,1011,1020,1029,1048,1066,1085,1112,1140,1177,1214,1251,1297,1343,1399,1463,1528,1583,1657,1805,1989,2266
882.963,0.108766,7,3,920,929,938,947,957,966,975,984,993,1002,1012,1021,1030,1048,1067,1085,1113,1140,1177,1214,1251,1297,1343,1398,1462,1527,1582,1655,1802,1986,2262
871.1111,0.107416,8,3,908,918,927,936,946,955,964,974,983,992,1001,1011,1020,1039,1057,1076,1104,1132,1169,1206,1243,1290,1337,1392,1458,1523,1579,1653,1802,1988,2268
878.5185,0.106838,9,3,916,925,935,944,953,963,972,981,991,1000,1010,1019,1028,1047,1066,1084,1113,1141,1178,1215,1253,1300,1347,1403,1468,1534,1590,1665,1815,2002,2283
887.4074,0.107759,10,3,925,934,943,952,962,971,980,989,999,1008,1017,1027,1036,1054,1073,1092,1119,1147,1184,1221,1259,1305,1351,1407,1472,1537,1593,1667,1815,2001,2279
871.1111,0.108608,11,3,908,917,926,936,945,954,963,972,982,991,1000,1009,1018,1037,1055,1074,1101,1129,1166,1203,1239,1285,1331,1387,1451,1516,1571,1645,1792,1976,2252
910.3704,0.110783,0,4,946,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1109,1136,1163,1199,1235,1271,1317,1362,1416,1479,1542,1596,1669,1813,1994,2264
910.3704,0.11042,1,4,947,956,965,974,983,992,1001,1010,1019,1028,1037,1046,1055,1073,1091,1110,1137,1164,1200,1236,1273,1318,1363,1418,1481,1544,1599,1671,1816,1997,2269
916.2963,0.110983,2,4,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1060,1078,1097,1115,1142,1169,1205,1241,1277,1322,1367,1421,1484,1547,1601,1673,1817,1998,2268
902.963,0.109525,3,4,939,949,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1067,1086,1104,1131,1159,1195,1232,1268,1314,1359,1414,1478,1542,1597,1670,1816,1999,2273
908.8889,0.109631,4,4,945,954,964,973,982,991,1000,1009,1018,1027,1037,1046,1055,1073,1091,1110,1137,1164,1201,1237,1274,1319,1365,1420,1484,1547,1602,1675,1821,2003,2277
912.5926,0.110096,5,4,949,958,967,976,985,994,1003,1013,1022,1031,1040,1049,1058,1076,1094,1112,1140,1167,1203,1240,1276,1321,1367,1421,1485,1548,1603,1676,1821,2003,2275
906.6667,0.111221,6,4,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1086,1104,1131,1158,1194,1230,1266,1311,1356,1410,1473,1536,1590,1662,1806,1986,2255
912.5926,0.109738,7,4,949,958,967,976,985,995,1004,1013,1022,1031,1040,1049,1058,1077,1095,1113,1140,1168,1204,1241,1277,1323,1368,1423,1487,1550,1605,1678,1824,2006,2279
906.6667,0.11033,8,4,943,952,961,970,979,988,997,1006,1015,1024,1034,1043,1052,1070,1088,1106,1133,1160,1197,1233,1269,1315,1360,1414,1478,1541,1596,1668,1813,1994,2266
910.3704,0.11006,9,4,947,956,965,974,983,992,1001,1010,1019,1028,1038,1047,1056,1074,1092,1110,1138,1165,1201,1237,1274,1319,1365,1419,1483,1546,1601,1674,1819,2001,2273
914.074,0.110312,10,4,950,959,968,978,987,996,1005,1014,1023,1032,1041,1050,1059,1077,1095,1114,1141,1168,1204,1240,1277,1322,1367,1422,1485,1549,1603,1676,1821,2002,2274
909.6296,0.110493,11,4,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1073,1091,1109,1136,1163,1199,1235,1272,1317,1362,1416,1480,1543,1597,1670,1815,1996,2267
905.926,0.110042,0,5,942,951,960,970,979,988,997,1006,1015,1024,1033,1042,1051,1069,1088,1106,1133,1160,1197,1233,1269,1315,1360,1415,1478,1542,1597,1669,1815,1996,2269
902.2222,0.111773,1,5,938,947,956,965,974,983,992,1001,1010,1019,1027,1036,1045,1063,1081,1099,1126,1153,1189,1224,1260,1305,1350,1403,1466,1528,1582,1654,1797,1976,2244
904.4445,0.110892,2,5,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1049,1067,1085,1103,1130,1157,1193,1229,1265,1310,1355,1409,1473,1536,1590,1662,1806,1987,2257
902.2222,0.110529,3,5,938,947,957,966,975,984,993,1002,1011,1020,1029,1038,1047,1065,1083,1101,1128,1156,1192,1228,1264,1309,1355,1409,1472,1536,1590,1662,1807,1988,2259
909.6296,0.110493,4,5,946,955,964,973,982,991,1000,1009,1018,1027,1036,1045,1054,1073,1091,1109,1136,1163,1199,1235,1272,1317,1362,1416,1480,1543,1597,1670,1815,1996,2267
894.074,0.110674,5,5,930,939,948,957,966,975,984,993,1003,1012,1021,1030,1039,1057,1075,1093,1120,1147,1183,1219,1255,1301,1346,1400,1463,1527,1581,1653,1798,1978,2249
903.7037,0.110384,6,5,940,949,958,967,976,985,994,1003,1012,1021,1031,1040,1049,1067,1085,1103,1130,1157,1194,1230,1266,1311,1357,1411,1474,1538,1592,1665,1810,1991,2263
