Based on the TVAC measurements by O Grimm May/June 2017. From STIX_TVAC_Data_MayJune2017\Nominal\FitResults.mat
Channel energy edges obtained from stx_science_energy_channels(/edges_1) 
Offset,Gain keV/ADC,Pixel,Detector,ADC Edge 0 - 4 keV,ADC Edge 1 - 5 keV,ADC Edge 2 - 6 keV,ADC Edge 3 - 7 keV,ADC Edge 4 - 8 keV,ADC Edge 5 - 9 keV,ADC Edge 6 - 10 keV,ADC Edge 7 - 11 keV,ADC Edge 8 - 12 keV,ADC Edge 9 - 13 keV,ADC Edge 10 - 14 keV,ADC Edge 11 - 15 keV,ADC Edge 12 - 16 keV,ADC Edge 13 - 18 keV,ADC Edge 14 - 20 keV,ADC Edge 15 - 22 keV,ADC Edge 16 - 25 keV,ADC Edge 17 - 28 keV,ADC Edge 18 - 32 keV,ADC Edge 19 - 36 keV,ADC Edge 20 - 40 keV,ADC Edge 21 - 45 keV,ADC Edge 22 - 50 keV,ADC Edge 23 - 56 keV,ADC Edge 24 - 63 keV,ADC Edge 25 - 70 keV,ADC Edge 26 - 76 keV,ADC Edge 27 - 84 keV,ADC Edge 28 - 100 keV,ADC Edge 29 - 120 keV,ADC Edge 30 - 150 keV
"1054.9927"," 0.107675","0","0","1092","1101","1111","1120","1129","1139","1148","1157","1166","1176","1185","1194","1204","1222","1241","1259","1287","1315","1352","1389","1426","1473","1519","1575","1640","1705","1761","1835","1984","2169","2448"
"1160.3521"," 0.109356","1","0","1197","1206","1215","1224","1234","1243","1252","1261","1270","1279","1288","1298","1307","1325","1343","1362","1389","1416","1453","1490","1526","1572","1618","1672","1736","1800","1855","1928","2075","2258","2532"
"1080.9231"," 0.108788","2","0","1118","1127","1136","1145","1154","1164","1173","1182","1191","1200","1210","1219","1228","1246","1265","1283","1311","1338","1375","1412","1449","1495","1541","1596","1660","1724","1780","1853","2000","2184","2460"
"1121.9019"," 0.108404","3","0","1159","1168","1177","1186","1196","1205","1214","1223","1233","1242","1251","1260","1269","1288","1306","1325","1353","1380","1417","1454","1491","1537","1583","1638","1703","1768","1823","1897","2044","2229","2506"
"1106.9830"," 0.108139","4","0","1144","1153","1162","1172","1181","1190","1199","1209","1218","1227","1236","1246","1255","1273","1292","1310","1338","1366","1403","1440","1477","1523","1569","1625","1690","1754","1810","1884","2032","2217","2494"
"1117.8877"," 0.108737","5","0","1155","1164","1173","1182","1191","1201","1210","1219","1228","1237","1247","1256","1265","1283","1302","1320","1348","1375","1412","1449","1486","1532","1578","1633","1697","1762","1817","1890","2038","2221","2497"
"1080.4556"," 0.108019","6","0","1117","1127","1136","1145","1155","1164","1173","1182","1192","1201","1210","1219","1229","1247","1266","1284","1312","1340","1377","1414","1451","1497","1543","1599","1664","1728","1784","1858","2006","2191","2469"
"1103.0211"," 0.107848","7","0","1140","1149","1159","1168","1177","1186","1196","1205","1214","1224","1233","1242","1251","1270","1288","1307","1335","1363","1400","1437","1474","1520","1567","1622","1687","1752","1808","1882","2030","2216","2494"
"1121.9253"," 0.107577","8","0","1159","1168","1178","1187","1196","1206","1215","1224","1233","1243","1252","1261","1271","1289","1308","1326","1354","1382","1419","1457","1494","1540","1587","1642","1708","1773","1828","1903","2051","2237","2516"
"1154.8889"," 0.108812","9","0","1192","1201","1210","1219","1228","1238","1247","1256","1265","1274","1284","1293","1302","1320","1339","1357","1385","1412","1449","1486","1522","1568","1614","1670","1734","1798","1853","1927","2074","2258","2533"
"1059.0958"," 0.107700","10","0","1096","1106","1115","1124","1133","1143","1152","1161","1171","1180","1189","1198","1208","1226","1245","1263","1291","1319","1356","1393","1430","1477","1523","1579","1644","1709","1765","1839","1988","2173","2452"
"1092.7103"," 0.108472","11","0","1130","1139","1148","1157","1166","1176","1185","1194","1203","1213","1222","1231","1240","1259","1277","1296","1323","1351","1388","1425","1461","1508","1554","1609","1674","1738","1793","1867","2015","2199","2476"
"1166.0277"," 0.106633","0","1","1204","1213","1222","1232","1241","1250","1260","1269","1279","1288","1297","1307","1316","1335","1354","1372","1400","1429","1466","1504","1541","1588","1635","1691","1757","1822","1879","1954","2104","2291","2573"
"1140.0122"," 0.108082","1","1","1177","1186","1196","1205","1214","1223","1233","1242","1251","1260","1270","1279","1288","1307","1325","1344","1371","1399","1436","1473","1510","1556","1603","1658","1723","1788","1843","1917","2065","2250","2528"
"1197.1244"," 0.106899","2","1","1235","1244","1253","1263","1272","1281","1291","1300","1309","1319","1328","1337","1347","1366","1384","1403","1431","1459","1496","1534","1571","1618","1665","1721","1786","1852","1908","1983","2133","2320","2600"
"1238.3917"," 0.107334","3","1","1276","1285","1294","1304","1313","1322","1332","1341","1350","1360","1369","1378","1387","1406","1425","1443","1471","1499","1537","1574","1611","1658","1704","1760","1825","1891","1946","2021","2170","2356","2636"
"1139.3730"," 0.106663","4","1","1177","1186","1196","1205","1214","1224","1233","1243","1252","1261","1271","1280","1289","1308","1327","1346","1374","1402","1439","1477","1514","1561","1608","1664","1730","1796","1852","1927","2077","2264","2546"
"1157.9642"," 0.107688","5","1","1195","1204","1214","1223","1232","1242","1251","1260","1269","1279","1288","1297","1307","1325","1344","1362","1390","1418","1455","1492","1529","1576","1622","1678","1743","1808","1864","1938","2087","2272","2551"
"1202.0921"," 0.108886","6","1","1239","1248","1257","1266","1276","1285","1294","1303","1312","1321","1331","1340","1349","1367","1386","1404","1432","1459","1496","1533","1569","1615","1661","1716","1781","1845","1900","1974","2120","2304","2580"
