energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31
2.0,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.8143439168967085e-43,2.8143439168967085e-43,2.8143439168967085e-43,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.8143439168967085e-43,2.8143439168967085e-43,2.8143439168967085e-43,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38,2.3160736767441837e-38
2.148,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.1293938294945972e-35,2.1293938294945972e-35,2.1293938294945972e-35,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.1293938294945972e-35,2.1293938294945972e-35,2.1293938294945972e-35,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31,2.0634504108186574e-31
2.296,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,3.7904693961373924e-29,3.7904693961373924e-29,3.7904693961373924e-29,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,3.7904693961373924e-29,3.7904693961373924e-29,3.7904693961373924e-29,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26,7.196053569872027e-26
2.444,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,2.567228492262089e-24,2.567228492262089e-24,2.567228492262089e-24,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,2.567228492262089e-24,2.567228492262089e-24,2.567228492262089e-24,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21,1.3766642838262618e-21
2.592,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,1.5928885659959325e-20,1.5928885659959325e-20,1.5928885659959325e-20,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,1.5928885659959325e-20,1.5928885659959325e-20,1.5928885659959325e-20,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18,3.1558021158012433e-18
2.74,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.665866882810348e-17,1.665866882810348e-17,1.665866882810348e-17,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.665866882810348e-17,1.665866882810348e-17,1.665866882810348e-17,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15,1.4902828405576183e-15
2.888,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,4.5235949530951854e-15,4.5235949530951854e-15,4.5235949530951854e-15,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,4.5235949530951854e-15,4.5235949530951854e-15,4.5235949530951854e-15,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13,2.1282088830987175e-13
3.036,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,4.425540187021742e-13,4.425540187021742e-13,4.425540187021742e-13,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,4.425540187021742e-13,4.425540187021742e-13,4.425540187021742e-13,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11,1.2286187383018654e-11
3.184,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,2.0029208835303622e-11,2.0029208835303622e-11,2.0029208835303622e-11,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,2.0029208835303622e-11,2.0029208835303622e-11,2.0029208835303622e-11,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10,3.577109248254462e-10
3.332,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,4.725626918672029e-10,4.725626918672029e-10,4.725626918672029e-10,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,4.725626918672029e-10,4.725626918672029e-10,4.725626918672029e-10,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09,5.8509638600489894e-09
