energies,det-0,det-1,det-2,det-3,det-4,det-5,det-6,det-7,det-8,det-9,det-10,det-11,det-12,det-13,det-14,det-15,det-16,det-17,det-18,det-19,det-20,det-21,det-22,det-23,det-24,det-25,det-26,det-27,det-28,det-29,det-30,det-31,attenuator
2.0,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,2.42715587144758e-44,2.42715587144758e-44,2.42715587144758e-44,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,2.42715587144758e-44,2.42715587144758e-44,2.42715587144758e-44,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,1.997435988354069e-39,3.6095053616290756e-165
2.148,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.768470506034307e-36,2.768470506034307e-36,2.768470506034307e-36,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.768470506034307e-36,2.768470506034307e-36,2.768470506034307e-36,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.6827360556274784e-32,2.747300386417252e-137
2.296,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,6.793585178578444e-30,6.793585178578444e-30,6.793585178578444e-30,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,6.793585178578444e-30,6.793585178578444e-30,6.793585178578444e-30,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.2897347997679797e-26,1.512811986866719e-115
2.444,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,5.9381057145805825e-25,5.9381057145805825e-25,5.9381057145805825e-25,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,5.9381057145805825e-25,5.9381057145805825e-25,5.9381057145805825e-25,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,3.1842814441672815e-22,2.556429478295687e-98
2.592,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,4.524966667849248e-21,4.524966667849248e-21,4.524966667849248e-21,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,4.524966667849248e-21,4.524966667849248e-21,4.524966667849248e-21,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,8.964782401712107e-19,1.7934191800458247e-84
2.74,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.595764928873909e-18,5.595764928873909e-18,5.595764928873909e-18,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.595764928873909e-18,5.595764928873909e-18,5.595764928873909e-18,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,5.005965686301662e-16,3.3261275353659857e-73
2.888,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,1.7447114787359873e-15,1.7447114787359873e-15,1.7447114787359873e-15,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,1.7447114787359873e-15,1.7447114787359873e-15,1.7447114787359873e-15,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,8.20831773399518e-14,6.240679266901732e-64
3.036,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,1.9171326585530628e-13,1.9171326585530628e-13,1.9171326585530628e-13,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,1.9171326585530628e-13,1.9171326585530628e-13,1.9171326585530628e-13,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,5.3223448631564624e-12,3.7843152984408984e-56
3.184,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,9.59223954870968e-12,9.59223954870968e-12,9.59223954870968e-12,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,9.59223954870968e-12,9.59223954870968e-12,9.59223954870968e-12,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.7131225243746117e-10,1.978997708560721e-49
3.332,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,2.462806175570823e-10,2.462806175570823e-10,2.462806175570823e-10,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,2.462806175570823e-10,2.462806175570823e-10,2.462806175570823e-10,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,3.0492864069810475e-09,8.879150732949907e-44
