,Offset_evaluation_thermal_2_keV_att0_no_offset.csv,,,,,,,,,
lo edg,SRCTYPE,SRCFLUX,SRCX,SRCY,SRCFWHM,ECCEN,SRCPA,LOOP_ANGLE,ALBEDO_RATIO,SRCHEIGHT
4,ellipse,0.0234994,3.99998,7.99997,6.06052,0.749047,89.4698,0,0,0
5,ellipse,0.0494388,3.99993,8.00001,6.06025,0.749141,89.4726,0,0,0
6,ellipse,0.374575,4.00004,7.99997,6.06032,0.749076,89.4718,0,0,0
7,ellipse,6.36732,3.99998,7.99989,6.06129,0.748979,89.484,0,0,0
8,ellipse,33.0614,3.99984,8.00007,6.06032,0.748922,89.4691,0,0,0
9,ellipse,101.244,3.99999,8.00003,6.06044,0.749099,89.4732,0,0,0
10,ellipse,198.688,4.0001,8.00001,6.0604,0.749101,89.473,0,0,0
11,ellipse,273.277,4.00019,7.99998,6.06079,0.749117,89.4824,0,0,0
12,ellipse,293.723,4.00001,8.00003,6.06044,0.74906,89.4722,0,0,0
13,ellipse,266.325,4.00003,8.00009,6.06037,0.749053,89.4755,0,0,0
14,ellipse,214.79,3.99999,8.00001,6.06045,0.749105,89.4701,0,0,0
15,ellipse,159.487,4.00026,8.00001,6.06076,0.749064,89.47,0,0,0
16,ellipse,186.641,4.00009,7.9999,6.06022,0.749068,89.4797,0,0,0
18,ellipse,79.7405,4.00003,8.00004,6.06069,0.749158,89.4747,0,0,0
20,ellipse,31.2791,3.99998,7.99999,6.06054,0.749039,89.474,0,0,0
22,ellipse,14.3572,4.00023,7.99982,6.06036,0.749025,89.461,0,0,0
25,ellipse,3.10136,4,7.99991,6.06024,0.749045,89.4771,0,0,0
28,ellipse,0.637371,4.00001,7.99999,6.06041,0.749094,89.4731,0,0,0
32,ellipse,0.0731936,4.0001,7.99993,6.06049,0.749074,89.4745,0,0,0
36,ellipse,0.00929537,3.9999,8.00009,6.06073,0.749021,89.4697,0,0,0
40,ellipse,0.00125188,3.99996,7.99998,6.06041,0.749094,89.4723,0,0,0
45,ellipse,9.50E-05,4.00002,8.00002,6.06038,0.749065,89.4747,0,0,0
50,ellipse,7.20E-06,4.00018,8.00001,6.06054,0.749086,89.4733,0,0,0
55,ellipse,5.43E-07,3.99995,8.00002,6.06037,0.749098,89.4711,0,0,0
60,ellipse,4.07E-08,4,7.99995,6.05998,0.749094,89.4749,0,0,0
65,ellipse,3.01E-09,4.00002,8.00004,6.06035,0.749085,89.4714,0,0,0
70,ellipse,2.22E-10,4.00004,7.99982,6.06047,0.749086,89.4736,0,0,0
75,ellipse,1.73E-11,4.00004,8.00005,6.06061,0.749078,89.4724,0,0,0
85,ellipse,9.06E-14,4.00002,7.99999,6.06049,0.74907,89.4738,0,0,0
100,ellipse,3.35E-17,3.99992,8.00137,6.06082,0.748258,89.6308,0,0,0
115,ellipse,1.23E-20,4.00007,7.99992,6.06051,0.74913,89.4772,0,0,0
130,ellipse,4.22E-24,0,0,10,0,0,0,0,0
150,,,,,,,,,,
