,Offset_evaluation_thermal_2_keV_att1_corr_offset.csv,,,,,,,,,
lo edg,SRCTYPE,SRCFLUX,SRCX,SRCY,SRCFWHM,ECCEN,SRCPA,LOOP_ANGLE,ALBEDO_RATIO,SRCHEIGHT
4,ellipse,0.0248797,3.97292,7.99785,5.62564,0.746209,89.24,0,0,0
5,ellipse,0.0457595,4.01896,8.0008,6.53895,0.746076,90,0,0,0
6,ellipse,0.376728,4.02329,7.99913,6.47706,0.770407,90,0,0,0
7,ellipse,6.85724,3.96163,7.99308,5.52652,0.742734,-90,0,0,0
8,ellipse,34.1344,3.98326,7.99839,5.82305,0.745402,-89.9999,0,0,0
9,ellipse,103.09,3.99226,7.99835,5.93622,0.746817,-90,0,0,0
10,ellipse,198.658,4.00062,8.00009,6.06312,0.749217,89.4832,0,0,0
11,ellipse,271.522,4.00301,7.99994,6.1081,0.749873,89.539,0,0,0
12,ellipse,291.648,4.00318,8.00068,6.10866,0.749511,89.4889,0,0,0
13,ellipse,265.095,4.00206,8.00034,6.09198,0.74935,89.4888,0,0,0
14,ellipse,214.421,4.00071,8.00013,6.07168,0.749137,89.4835,0,0,0
15,ellipse,134.682,3.99666,8.00009,6.03287,0.748535,89.458,0,0,0
16,ellipse,198.849,3.99852,7.99915,6.03222,0.748297,-90,0,0,0
18,ellipse,87.8826,3.99881,7.99977,6.02703,0.748209,-90,0,0,0
20,ellipse,33.4018,3.99689,7.99948,6.00872,0.747911,-90,0,0,0
22,ellipse,17.7212,4.001,7.99937,6.04338,0.748904,-90,0,0,0
25,ellipse,3.80305,4.0002,7.99895,6.03778,0.748346,-90,0,0,0
28,ellipse,0.894942,4.00251,7.99928,6.06417,0.749665,89.4523,0,0,0
32,ellipse,0.100387,4.00231,7.99955,6.06488,0.749448,89.4775,0,0,0
36,ellipse,0.0122609,4.00171,7.99956,6.05764,0.749279,89.4687,0,0,0
40,ellipse,0.00173386,4.00297,7.9993,6.07049,0.749637,89.4897,0,0,0
45,ellipse,0.00013158,4.00281,7.9996,6.06952,0.749412,89.4723,0,0,0
50,ellipse,9.98E-06,4.00276,7.99955,6.06967,0.749485,89.4797,0,0,0
55,ellipse,7.54E-07,4.00255,7.99973,6.07055,0.749529,89.4786,0,0,0
60,ellipse,5.65E-08,4.00287,7.99962,6.06977,0.749499,89.4754,0,0,0
65,ellipse,4.20E-09,4.00283,7.99945,6.07043,0.74949,89.482,0,0,0
70,ellipse,3.07E-10,4.0025,7.99949,6.06905,0.749715,89.4841,0,0,0
75,ellipse,2.67E-11,4.00504,7.99962,6.09426,0.749834,89.49,0,0,0
85,ellipse,1.46E-13,4.00586,7.99915,6.10243,0.749803,89.4438,0,0,0
100,ellipse,5.37E-17,4.00618,7.99939,6.10204,0.749778,89.4509,0,0,0
115,ellipse,1.98E-20,4.00604,7.99979,6.10208,0.749905,89.4999,0,0,0
130,ellipse,7.23E-24,0,0,10,0,0,0,0,0
150,,,,,,,,,,
