,Offset_evaluation_thermal_2_keV_att1_offset.csv,,,,,,,,,
lo edg,SRCTYPE,SRCFLUX,SRCX,SRCY,SRCFWHM,ECCEN,SRCPA,LOOP_ANGLE,ALBEDO_RATIO,SRCHEIGHT
4,ellipse,0.00445467,4.13857,8.09112,8.42844,0.796196,-89.8739,0,0,0
5,ellipse,0.0227135,3.97091,8.0005,5.7645,0.745317,-90,0,0,0
6,ellipse,0.0109446,4.25997,8.66881,17.4836,0.957519,89.358,0,0,0
7,ellipse,0.00359119,46.9878,-17.0832,4.69351,0.999979,-80.0197,0,0,0
8,ellipse,3.85436,4.03839,8.0411,7.62159,0.777112,-89.6032,0,0,0
9,ellipse,27.08,4.01135,8.01168,6.52291,0.751348,89.7155,0,0,0
10,ellipse,94.8282,3.9947,8.00203,6.10585,0.748532,89.5355,0,0,0
11,ellipse,195.547,3.99328,8.0009,6.01141,0.747452,-90,0,0,0
12,ellipse,274.167,3.99595,7.99959,6.00872,0.748015,-90,0,0,0
13,ellipse,296.82,3.99822,7.99967,6.02502,0.747882,-89.9999,0,0,0
14,ellipse,270.05,4.00049,7.99919,6.04492,0.749238,89.4568,0,0,0
15,ellipse,218.072,4.0022,7.99937,6.06099,0.749392,89.4732,0,0,0
16,ellipse,275.519,4.00375,7.99948,6.07856,0.749623,89.4815,0,0,0
18,ellipse,125.708,4.00517,7.99975,6.09417,0.749896,89.493,0,0,0
20,ellipse,51.16,4.00595,7.99929,6.1032,0.749717,89.4453,0,0,0
22,ellipse,24.0131,4.00662,7.99943,6.10974,0.750155,89.4926,0,0,0
25,ellipse,5.28841,4.00699,7.99956,6.11199,0.750159,89.5086,0,0,0
28,ellipse,1.15084,4.008,7.99957,6.12652,0.750388,89.509,0,0,0
32,ellipse,0.128692,4.00774,7.99962,6.12386,0.75036,89.5106,0,0,0
36,ellipse,0.015809,4.00694,7.99976,6.11382,0.749968,89.4965,0,0,0
40,ellipse,0.00212995,4.00703,7.99937,6.11486,0.750241,89.5115,0,0,0
45,ellipse,0.000161645,4.00699,7.99976,6.11404,0.750096,89.503,0,0,0
50,ellipse,1.23E-05,4.00693,7.99967,6.11458,0.750159,89.5159,0,0,0
55,ellipse,9.26E-07,4.00691,7.99958,6.11521,0.750238,89.5112,0,0,0
60,ellipse,6.94E-08,4.00701,7.99968,6.11458,0.750061,89.5008,0,0,0
65,ellipse,5.16E-09,4.007,7.99949,6.11535,0.750093,89.5081,0,0,0
70,ellipse,3.80E-10,4.00696,7.99958,6.11614,0.750261,89.5033,0,0,0
75,ellipse,2.97E-11,4.00718,7.99973,6.1163,0.75012,89.5014,0,0,0
85,ellipse,1.56E-13,4.00711,7.99944,6.11716,0.750256,89.5067,0,0,0
100,ellipse,5.76E-17,4.00711,7.9996,6.11686,0.750256,89.503,0,0,0
115,ellipse,2.12E-20,4.00707,7.9995,6.11658,0.750175,89.5023,0,0,0
130,ellipse,7.23E-24,0,0,10,0,0,0,0,0
150,,,,,,,,,,
