source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31,detector_override,pixel_override
0,0,0,452,,,,4,,,,,,uniform,,,bkg_continuum,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,64.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,          12,gaussian,0.000000,0.000000,4378.465820,1,40,20,,,uniform,,,f_vth,0.0114751+1.33402+1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,          12,gaussian,0.000000,0.000000,692.732971,1,40,20,,,uniform,,,f_bpow,1.14037+2.13008+150.000+9.00000+10.4035+1.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,76.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,          12,gaussian,0.000000,0.000000,5867.704590,1,40,20,,,uniform,,,f_vth,0.0118848+1.45113+1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,          12,gaussian,0.000000,0.000000,445.864258,1,40,20,,,uniform,,,f_bpow,0.250349+2.89359+150.000+9.00000+9.93643+1.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,88.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,          12,gaussian,0.000000,0.000000,19829.681641,1,40,20,,,uniform,,,f_vth,0.0356224+1.51384+1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,          12,gaussian,0.000000,0.000000,488.959259,1,40,20,,,uniform,,,f_bpow,0.346218+2.70431+150.000+9.00000+9.44347+1.50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,          12,gaussian,0.000000,0.000000,35814.765625,1,40,20,,,uniform,,,f_vth,0.0537828+1.61938+1.00000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
