source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31,detector_override,pixel_override
0,0,0,596,,,,10,,,,,,uniform,,,uniform,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,4,gaussian,-269.229767,-232.516037,4616.561035,1,40,20,,,uniform,,,thermal,0.096554,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,4,gaussian,-269.229767,-232.516037,42.806690,1,20,10,,,uniform,,,powerlaw,0.001543,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,4,gaussian,-269.229767,-232.516037,342.037567,1,20,10,,,uniform,,,powerlaw,0.012330,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,8.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,4,gaussian,-269.229767,-232.516037,790.274902,1,20,10,,,uniform,,,powerlaw,0.028488,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,12.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,4,gaussian,-269.229767,-232.516037,938.508423,1,20,10,,,uniform,,,powerlaw,0.033831,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,16.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,4,gaussian,-269.229767,-232.516037,987.709229,1,20,10,,,uniform,,,powerlaw,0.035605,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,4,gaussian,-269.229767,-232.516037,1404.242065,1,20,10,,,uniform,,,powerlaw,0.050620,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,4,gaussian,-269.229767,-232.516037,1739.955811,1,20,10,,,uniform,,,powerlaw,0.062722,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,28.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,4,gaussian,-269.229767,-232.516037,2778.177979,1,20,10,,,uniform,,,powerlaw,0.100147,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,32.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,4,gaussian,-269.229767,-232.516037,4524.205566,1,20,10,,,uniform,,,powerlaw,0.163088,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,36.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,,4,gaussian,-269.229767,-232.516037,3335.893799,1,20,10,,,uniform,,,powerlaw,0.120252,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,40.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,,4,gaussian,-269.229767,-232.516037,3874.881836,1,20,10,,,uniform,,,powerlaw,0.139681,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,44.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,4,gaussian,-269.229767,-232.516037,4036.750000,1,20,10,,,uniform,,,powerlaw,0.145516,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,48.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,,4,gaussian,-269.229767,-232.516037,3841.970459,1,20,10,,,uniform,,,powerlaw,0.138495,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,52.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,,4,gaussian,-269.229767,-232.516037,4096.380371,1,20,10,,,uniform,,,powerlaw,0.147666,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,56.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,4,gaussian,-269.229767,-232.516037,3673.519531,1,20,10,,,uniform,,,powerlaw,0.132422,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,60.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,4,gaussian,-269.229767,-232.516037,4901.431641,1,20,10,,,uniform,,,powerlaw,0.176686,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,64.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,4,gaussian,-269.229767,-232.516037,6047.669922,1,20,10,,,uniform,,,powerlaw,0.218005,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,68.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,4,gaussian,-269.229767,-232.516037,10137.643555,1,20,10,,,uniform,,,powerlaw,0.365440,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,72.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,4,gaussian,-269.229767,-232.516037,29213.917969,1,20,10,,,uniform,,,powerlaw,1.053098,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,76.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,4,gaussian,-269.229767,-232.516037,32041.511719,1,20,10,,,uniform,,,powerlaw,1.155026,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,80.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,,4,gaussian,-269.229767,-232.516037,39815.792969,1,20,10,,,uniform,,,powerlaw,1.435272,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,84.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,4,gaussian,-269.229767,-232.516037,31393.554688,1,20,10,,,uniform,,,powerlaw,1.131669,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,88.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,,4,gaussian,-269.229767,-232.516037,36400.582031,1,20,10,,,uniform,,,powerlaw,1.312161,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,92.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
