source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31,detector_override,pixel_override
0,0,0,308,,,,10,,,,,,uniform,,,uniform,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,16,point,0,0,5000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,8,point,100,100,10000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,8,point,200,200,40000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,8,point,300,300,80000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,8,point,400,400,150000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,8,point,500,500,250000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,8,point,600,600,550000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,8,point,700,700,950000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,8,point,800,800,550000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,8,point,900,900,250000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,8,point,1000,1000,150000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,8,point,1100,1100,80000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,8,point,1200,1200,40000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,8,point,1300,1300,10000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,16,point,1400,1400,5000,1,,,,,uniform,,,powerlaw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
