;
; Created 13-Aug-2013 - Mel Byrne (TCD)
;
; Energy grid for each subcollimator - dummy data at present, real
; data to be provided by pixel response calibration routines
;
; subc 00
   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000
   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000
   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000
   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000
   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000
   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000
  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000
  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000
  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000
  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000
  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000
  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000  15.5000000
  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000  16.5000000
  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000  17.5000000
  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000  18.5000000
  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000  19.5000000
  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418  21.2932418
  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729  24.0469729
  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280  27.1568280
  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625  30.6688625
  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881  34.6350881
  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425  39.1142425
  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599  44.1726599
  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529  49.8852529
  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224  56.3366224
  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100  63.6223100
  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132  71.8502132
  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832  81.1421832
  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296  91.6358296
 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583 103.4865583
 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727 116.8698727
 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734 136.9839734
;
; subc 01
   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000   4.5000000
   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000   5.5000000
   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000   6.5000000
   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000   7.5000000
   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000   8.5000000
   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000   9.5000000
  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000  10.5000000
  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000  11.5000000
  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000  12.5000000
  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000  13.5000000
  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000  14.5000000
